method,dataset,varied_factor,coordinate,primary_configuration,robustness_configuration,primary_backbone,robustness_backbone,primary_tau_I_mean,primary_tau_I_lo,primary_tau_I_hi,primary_resolved,robustness_tau_I_mean,robustness_tau_I_lo,robustness_tau_I_hi,robustness_resolved,sign_changed,resolution_changed,abs_shift
BIND,bail,intervention budget,dAUC,1pct,10pct,GCN,GCN,0.0007436080320891528,-0.0017406709716852676,0.003803196274128358,False,-0.0009330622671601378,-0.004537822018629251,0.0031723891481950698,False,True,False,0.0016766702992492906
BIND,bail,intervention budget,negDP,1pct,10pct,GCN,GCN,0.0005513076003535531,-0.002150186124113708,0.0030923247867115423,False,0.00325887807491695,-0.0013205214254592664,0.009124920114257395,False,False,False,0.0027075704745633967
BIND,bail,intervention budget,negEO,1pct,10pct,GCN,GCN,-0.0006720886592446126,-0.006770891044431968,0.00624342972207324,False,-0.0001717957713975628,-0.005999669543105304,0.0071635347216177665,False,False,False,0.0005002928878470498
BIND,income,intervention budget,dAUC,1pct,10pct,GCN,GCN,-0.00039890884553231973,-0.0016035321957631867,0.0006843389777140416,False,-0.00045187362181119036,-0.0018574344156936952,0.0008940471037604705,False,False,False,5.296477627887063e-05
BIND,income,intervention budget,negDP,1pct,10pct,GCN,GCN,0.04233838199071894,0.035540510733260734,0.048781209761123455,True,0.052974741718479615,0.04676197453302405,0.058611888817886204,True,False,False,0.010636359727760676
BIND,income,intervention budget,negEO,1pct,10pct,GCN,GCN,0.05426966250573333,0.03591469904803848,0.07041229365763467,True,0.06971662593528913,0.050394751723335185,0.08767561559406503,True,False,False,0.015446963429555795
BeMap,bail,backbone (encoder),dAUC,default,GAT,GCN,GAT,-0.13926478721330915,-0.20755379423766274,-0.0914483663709581,True,-0.09664649039967595,-0.14194411592721673,-0.06864023307520059,True,False,False,0.0426182968136332
BeMap,bail,backbone (encoder),negDP,default,GAT,GCN,GAT,0.059653184001909734,0.041908943965722735,0.074071556131283,True,0.062080089261906786,0.04191881348561804,0.08204431431152624,True,False,False,0.0024269052599970517
BeMap,bail,backbone (encoder),negEO,default,GAT,GCN,GAT,0.024302717449657976,0.015530477798005505,0.03631378455986772,True,0.03663845732765265,0.017581979458124074,0.05792529184945893,True,False,False,0.012335739877994672
BeMap,credit,backbone (encoder),dAUC,default,GAT,GCN,GAT,-0.035780285254646965,-0.04396534631123059,-0.030817114444644314,True,-0.009132072591273044,-0.018019695383905514,-0.00017554380521910977,False,False,True,0.026648212663373923
BeMap,credit,backbone (encoder),negDP,default,GAT,GCN,GAT,0.0224973836925205,-0.019565803307296438,0.06667254946249536,False,0.028989667108674955,0.007643507007647204,0.05546382649702044,False,False,False,0.006492283416154456
BeMap,credit,backbone (encoder),negEO,default,GAT,GCN,GAT,0.01621953950236466,-0.029282037753941902,0.063426693881549,False,0.021924580323691788,0.0027680174199811395,0.0454424630148526,False,False,False,0.005705040821327129
BeMap,pokec_z,backbone (encoder),dAUC,default,GAT,GCN,GAT,-0.01507648894607736,-0.023918062716253637,-0.00742793022503243,True,-0.004887343590763727,-0.012026301380100777,0.0019268390393976627,False,False,True,0.010189145355313633
BeMap,pokec_z,backbone (encoder),negDP,default,GAT,GCN,GAT,-0.06677784952252212,-0.1438367754066933,0.007416828385447914,False,-0.03791201960783487,-0.07829309035557282,-0.005590525548382056,True,False,True,0.028865829914687252
BeMap,pokec_z,backbone (encoder),negEO,default,GAT,GCN,GAT,-0.0397299099900194,-0.09708578505673592,0.013763942637296744,False,-0.01897621439571858,-0.05164224742750383,0.005318899118829143,False,False,False,0.02075369559430082
FairGNN,pokec_n,backbone (GAT) with the upstream repository's row,dAUC,default,upstreamGAT,GCN,GAT,-0.005895447951256361,-0.00836202160797401,-0.00368829015492358,False,0.004706302460421827,-0.009302148688294817,0.02190350974292623,False,True,False,0.010601750411678188
FairGNN,pokec_n,backbone (GAT) with the upstream repository's row,negDP,default,upstreamGAT,GCN,GAT,-0.003922356821659583,-0.01568436915039828,0.006971975686088758,False,0.048300305191206386,-0.024393722126395512,0.12772512291997404,False,True,False,0.05222266201286597
FairGNN,pokec_n,backbone (GAT) with the upstream repository's row,negEO,default,upstreamGAT,GCN,GAT,3.173030202510002e-05,-0.01129152219958395,0.012808432069121509,False,0.04046819370927649,-0.03257435109677543,0.11685069297719217,False,False,False,0.04043646340725139
FairGNN,pokec_z,backbone (GAT) with the upstream repository's row,dAUC,default,upstreamGAT,GCN,GAT,-0.007030128603089603,-0.010747748310503865,-0.003488519969715184,False,-0.04529716038722558,-0.07106550777380785,-0.02301692079467741,False,False,False,0.03826703178413598
FairGNN,pokec_z,backbone (GAT) with the upstream repository's row,negDP,default,upstreamGAT,GCN,GAT,-0.017961795022491765,-0.0340993691809975,-0.005237436079416074,False,-0.01503815954166927,-0.09397882262123981,0.05920265795646685,False,False,False,0.0029236354808224937
FairGNN,pokec_z,backbone (GAT) with the upstream repository's row,negEO,default,upstreamGAT,GCN,GAT,-0.013582394797678357,-0.026274874945730525,-0.001730461342237266,False,-0.025725981085964945,-0.09128341701837725,0.03248689445320371,False,False,False,0.012143586288286589
FairGNN,pokec_n,hyperparameters: the upstream repository's row,dAUC,default,upstreamGCN,GCN,GCN,-0.005895447951256361,-0.00836202160797401,-0.00368829015492358,False,-0.0388088990754935,-0.044437886565568144,-0.03364755721943601,True,False,True,0.03291345112423714
FairGNN,pokec_n,hyperparameters: the upstream repository's row,negDP,default,upstreamGCN,GCN,GCN,-0.003922356821659583,-0.01568436915039828,0.006971975686088758,False,0.025543386390073988,-0.018719050979339943,0.07529416953653298,False,True,False,0.02946574321173357
FairGNN,pokec_n,hyperparameters: the upstream repository's row,negEO,default,upstreamGCN,GCN,GCN,3.173030202510002e-05,-0.01129152219958395,0.012808432069121509,False,0.027495170009867034,-0.013033198121063058,0.0708230556455436,False,False,False,0.027463439707841934
FairGNN,pokec_z,hyperparameters: the upstream repository's row,dAUC,default,upstreamGCN,GCN,GCN,-0.007030128603089603,-0.010747748310503865,-0.003488519969715184,False,-0.04537410522630721,-0.05108919847678721,-0.03988661185495547,True,False,True,0.038343976623217604
FairGNN,pokec_z,hyperparameters: the upstream repository's row,negDP,default,upstreamGCN,GCN,GCN,-0.017961795022491765,-0.0340993691809975,-0.005237436079416074,False,0.028115864297815787,-0.0028552843979670756,0.06116887270116025,False,True,False,0.04607765932030755
FairGNN,pokec_z,hyperparameters: the upstream repository's row,negEO,default,upstreamGCN,GCN,GCN,-0.013582394797678357,-0.026274874945730525,-0.001730461342237266,False,0.029545101070678877,-0.00019845804025196503,0.056878485554438835,False,True,False,0.043127495868357235
FairSIN,bail,backbone (encoder),dAUC,GCN,GIN,GCN,GIN,0.0033323365414344,-0.003992930398543298,0.011844473806120047,False,0.00662164776907388,-0.008399857713217794,0.024222537713554534,False,False,False,0.00328931122763948
FairSIN,bail,backbone (encoder),negDP,GCN,GIN,GCN,GIN,0.0050636385218032895,0.0007927297091039685,0.010039506938718525,False,0.00024102766412774045,-0.008858769000315058,0.009053222502608498,False,False,False,0.004822610857675549
FairSIN,bail,backbone (encoder),negEO,GCN,GIN,GCN,GIN,-0.005636972188986378,-0.013816321844539417,0.0014564562541606316,False,-0.010675606368361493,-0.020100287560076962,-0.0002780645035095313,False,False,False,0.005038634179375115
FairSIN,credit,backbone (encoder),dAUC,GCN,GIN,GCN,GIN,-0.04587965452586778,-0.07089475140689115,-0.030503011206454676,True,-0.03454253545078118,-0.04975191638255717,-0.024372442115773312,True,False,False,0.011337119075086596
FairSIN,credit,backbone (encoder),negDP,GCN,GIN,GCN,GIN,0.07656166495356928,0.05502304092388726,0.09850948563704924,True,0.06049274789960298,0.04591178022439678,0.07738236238611523,True,False,False,0.0160689170539663
