method,dataset,selector,coordinate,step,from_stage,to_stage,lambda1_fairness,lambda2_propagation,mean,lo,hi,resolved
FMP,pokec_z,last,dAUC,prop,base,+propagation,0.0,0.01,-0.0001463508963333,-0.0018901307607052,0.001689156951243,False
FMP,pokec_z,last,negDP,prop,base,+propagation,0.0,0.01,0.0021488990888874,-0.0045669454393165,0.0094204089415891,False
FMP,pokec_z,last,negEO,prop,base,+propagation,0.0,0.01,0.0013709763358636,-0.0075102125150637,0.0097005425981775,False
FMP,pokec_z,last,dAUC,fair,+propagation,+propagation+fairness,5.0,0.01,0.0001304161684726,-0.0018256765619247,0.0017609620402769,False
FMP,pokec_z,last,dAUC,total,base,+propagation+fairness,5.0,0.01,-1.593472786064476e-05,-0.0016500368589049,0.0016895022795564,False
FMP,pokec_z,last,negDP,fair,+propagation,+propagation+fairness,5.0,0.01,-0.0016531980271338,-0.0062212398233089,0.0027543021894256,False
FMP,pokec_z,last,negDP,total,base,+propagation+fairness,5.0,0.01,0.0004957010617536,-0.0082819153314218,0.0084445941251552,False
FMP,pokec_z,last,negEO,fair,+propagation,+propagation+fairness,5.0,0.01,-0.0014490449602509,-0.0112120306867166,0.008226809954374,False
FMP,pokec_z,last,negEO,total,base,+propagation+fairness,5.0,0.01,-7.806862438726724e-05,-0.0069983152966633,0.0069315668664951,False
FMP,pokec_z,last,dAUC,fair,+propagation,+propagation+fairness,30.0,0.01,0.0008032349277481,-0.0004344893231568,0.0021249454387004,False
FMP,pokec_z,last,dAUC,total,base,+propagation+fairness,30.0,0.01,0.0006568840314148,-0.0013357273516097,0.0026098122289287,False
FMP,pokec_z,last,negDP,fair,+propagation,+propagation+fairness,30.0,0.01,-0.0022282782276486,-0.0071713766326795,0.0024634530968711,False
FMP,pokec_z,last,negDP,total,base,+propagation+fairness,30.0,0.01,-7.93791387611356e-05,-0.0083820222178162,0.0071362641738437,False
FMP,pokec_z,last,negEO,fair,+propagation,+propagation+fairness,30.0,0.01,-2.43852165596933e-05,-0.0080637676591456,0.0076452468580167,False
FMP,pokec_z,last,negEO,total,base,+propagation+fairness,30.0,0.01,0.0013465911193039,-0.0056972818947141,0.0083410877725307,False
FMP,pokec_z,last,dAUC,prop,base,+propagation,0.0,20.0,-0.0060751941440692,-0.0153474823247587,0.0024821712918143,False
FMP,pokec_z,last,negDP,prop,base,+propagation,0.0,20.0,-0.0584993804405458,-0.0846870976197176,-0.0412363606322356,True
FMP,pokec_z,last,negEO,prop,base,+propagation,0.0,20.0,-0.0571687337427997,-0.0903191577111569,-0.029946651362145,True
FMP,pokec_z,last,dAUC,fair,+propagation,+propagation+fairness,5.0,20.0,0.0001737649664113,-2.9299258249800005e-05,0.0004194579513907,False
FMP,pokec_z,last,dAUC,total,base,+propagation+fairness,5.0,20.0,-0.0059014291776579,-0.0150300064054899,0.0025312730641492,False
FMP,pokec_z,last,negDP,fair,+propagation,+propagation+fairness,5.0,20.0,-0.0005019069656102,-0.0029108310708409,0.002464780069153,False
FMP,pokec_z,last,negDP,total,base,+propagation+fairness,5.0,20.0,-0.0590012874061561,-0.0841658640207996,-0.0425776096949457,True
FMP,pokec_z,last,negEO,fair,+propagation,+propagation+fairness,5.0,20.0,0.0003916613761913,-0.0021910956564018,0.0032654668948951,False
FMP,pokec_z,last,negEO,total,base,+propagation+fairness,5.0,20.0,-0.0567770723666083,-0.0900668540455973,-0.0286910508116635,True
FMP,pokec_z,last,dAUC,fair,+propagation,+propagation+fairness,30.0,20.0,0.0001710551565182,-6.641448924256286e-05,0.0004186493125962,False
FMP,pokec_z,last,dAUC,total,base,+propagation+fairness,30.0,20.0,-0.005904138987551,-0.0150368496885011,0.0025752002884364,False
FMP,pokec_z,last,negDP,fair,+propagation,+propagation+fairness,30.0,20.0,-0.003248273834072,-0.0061956603776159,0.0002343781784631,False
FMP,pokec_z,last,negDP,total,base,+propagation+fairness,30.0,20.0,-0.0617476542746179,-0.0878518582296609,-0.0444845919464924,True
FMP,pokec_z,last,negEO,fair,+propagation,+propagation+fairness,30.0,20.0,-0.0012524640841869,-0.0045708847942297,0.0022385524684338,False
FMP,pokec_z,last,negEO,total,base,+propagation+fairness,30.0,20.0,-0.0584211978269866,-0.0920513741165885,-0.0301752287409498,True
FMP,pokec_z,bce,dAUC,prop,base,+propagation,0.0,0.01,0.000568003952674,-0.0007044733468114,0.0018826454352792,False
FMP,pokec_z,bce,negDP,prop,base,+propagation,0.0,0.01,0.0006515919894352,-0.004081607069097,0.0055514450737064,False
FMP,pokec_z,bce,negEO,prop,base,+propagation,0.0,0.01,0.0014765276978535,-0.0033475449333845,0.0058525183130292,False
FMP,pokec_z,bce,dAUC,fair,+propagation,+propagation+fairness,5.0,0.01,-0.0005246978107713,-0.0016834461379584,0.0005430363499064,False
