method,dataset,configuration,coordinate,n_splits,n_units,frozen_mean,frozen_resolved,split_mean,split_lo,split_hi,split_sign_stability,t_resolved,t_resolved_ci_only,loso_resolved_count,loso_all_resolved,loso_none_resolved,mean_shift
BIND,bail,1pct,dAUC,6,30,0.0007436080320891,False,0.00074360803208914,-0.0030213624751275958,0.004508578539305876,0.6666666666666666,False,False,0,False,True,4.0007060164715114e-17
BIND,bail,1pct,negDP,6,30,0.0005513076003535,False,0.0005513076003535529,-0.002499228834877754,0.00360184403558486,0.6666666666666666,False,False,0,False,True,5.2909066017292616e-17
BIND,bail,1pct,negEO,6,30,-0.0006720886592446,False,-0.0006720886592446123,-0.009539146753352,0.008194969434862778,0.5,False,False,0,False,True,-1.22514845490862e-17
BIND,income,1pct,dAUC,6,30,-0.0003989088455323,False,-0.00039890884553232207,-0.0017660718848147622,0.0009682541937501182,0.6666666666666666,False,False,0,False,True,-2.2063514210080015e-17
BIND,income,1pct,negDP,6,30,0.0423383819907189,True,0.04233838199071895,0.037294581781837234,0.04738218219960067,1.0,True,True,6,True,False,5.551115123125783e-17
BIND,income,1pct,negEO,6,30,0.0542696625057333,True,0.05426966250573334,0.032419730284616935,0.07611959472684975,1.0,True,True,6,True,False,4.163336342344337e-17
BeMap,bail,default,dAUC,6,30,-0.1392647872133091,True,-0.1392647872133091,-0.22328356545138267,-0.05524600897523553,1.0,True,True,6,True,False,0.0
BeMap,bail,default,negDP,6,30,0.0596531840019097,True,0.05965318400190973,0.03640915829241539,0.08289720971140407,1.0,True,True,6,True,False,2.7755575615628914e-17
BeMap,bail,default,negEO,6,30,0.0243027174496579,True,0.024302717449657976,0.009681670344685523,0.038923764554630425,1.0,True,True,6,True,False,7.632783294297951e-17
BeMap,credit,default,dAUC,6,30,-0.0357802852546469,True,-0.03578028525464692,-0.04028559783132857,-0.031274972677965265,1.0,True,True,6,True,False,-1.3877787807814457e-17
BeMap,credit,default,negDP,6,30,0.0224973836925205,False,0.022497383692520505,-0.03091059977432115,0.07590536715936216,0.8333333333333334,False,False,0,False,True,6.938893903907228e-18
BeMap,credit,default,negEO,6,30,0.0162195395023646,False,0.01621953950236466,-0.0412803411109548,0.07371942011568411,0.5,False,False,0,False,True,5.898059818321144e-17
BeMap,pokec_z,default,dAUC,6,30,-0.0150764889460773,True,-0.015076488946077318,-0.026841596473085406,-0.0033113814190692276,1.0,True,True,4,False,False,-1.734723475976807e-17
BeMap,pokec_z,default,negDP,6,30,-0.0667778495225221,False,-0.06677784952252212,-0.17518626147090124,0.041630562425857,0.5,False,False,0,False,True,-2.7755575615628914e-17
BeMap,pokec_z,default,negEO,6,30,-0.0397299099900194,False,-0.03972990999001941,-0.11907762789226903,0.03961780791223021,0.5,False,False,0,False,True,-6.938893903907228e-18
EDITS,bail,default,dAUC,6,30,-0.0385635029780034,False,-0.03856350297800349,-0.10125272114815864,0.024125715192151655,0.6666666666666666,False,False,0,False,True,-9.020562075079397e-17
EDITS,bail,default,negDP,6,30,0.007302170251964,False,0.0073021702519640444,-0.006030205735127696,0.020634546239055786,0.6666666666666666,False,False,0,False,True,4.423544863740858e-17
EDITS,bail,default,negEO,6,30,0.0050727282423074,False,0.005072728242307464,0.0005207084181211262,0.009624748066493802,1.0,False,False,0,False,True,6.418476861114186e-17
EDITS,credit,default,dAUC,6,30,-0.0130073737239581,True,-0.013007373723958127,-0.024456054259812593,-0.001558693188103661,0.8333333333333334,True,True,2,False,False,-2.7755575615628914e-17
EDITS,credit,default,negDP,6,30,0.2092241995323403,True,0.20922419953234037,0.02379613384919127,0.39465226521548946,1.0,True,True,2,False,False,5.551115123125783e-17
