cell,selection,coordinate,n_units,tau_I,ci_low,ci_high,sign_stability,resolved
NIFTY/German D0,indep,dAUC,30,0.014553650793650806,-0.004703746031746,0.03243450793650794,0.6666666666666666,False
NIFTY/German D0,indep,negDP,30,-0.04290720169962567,-0.11850436585474555,0.03362945194363289,0.6666666666666666,False
NIFTY/German D0,indep,negEO,30,-0.026282454341074502,-0.10671591502203723,0.0506479365079365,0.6,False
NIFTY/German D0,common,dAUC,30,0.0019682539682539745,-0.024809365079365063,0.02593342857142855,0.5,False
NIFTY/German D0,common,negDP,30,-0.04222401970691023,-0.12145241765479568,0.03315188408208771,0.6666666666666666,False
NIFTY/German D0,common,negEO,30,-0.028138569287052884,-0.10804705979702757,0.04451997732426304,0.5666666666666667,False
NIFTY/German D1,indep,dAUC,30,0.04883555555555555,0.02659326984126984,0.06915720634920634,0.8333333333333334,True
NIFTY/German D1,indep,negDP,30,-0.14795225255689537,-0.22090147028299745,-0.07802707524044634,0.9,True
NIFTY/German D1,indep,negEO,30,-0.1222890958924941,-0.18771680105464164,-0.06225462713971526,0.9333333333333333,True
NIFTY/German D1,common,dAUC,30,0.022647619047619038,-0.001552158730158748,0.044908126984126995,0.6333333333333333,False
NIFTY/German D1,common,negDP,30,-0.1091939013075153,-0.17773833622417412,-0.043186326364115006,0.8,True
NIFTY/German D1,common,negEO,30,-0.0912000333644096,-0.1508523185324662,-0.03566205582232896,0.8333333333333334,True
FairGB/Bail,indep,dAUC,30,0.06167971615856426,0.05076290780140483,0.07321865252102253,1.0,True
FairGB/Bail,indep,negDP,30,-0.03462958633707567,-0.07908120654294207,0.010376660560462186,0.6333333333333333,False
FairGB/Bail,indep,negEO,30,-0.021094301232427486,-0.0461530958611992,0.0017867503166274124,0.6333333333333333,False
FairGB/Bail,common,dAUC,30,0.00982837450090254,-0.0029730137087903277,0.02298537252530308,0.7666666666666667,False
FairGB/Bail,common,negDP,30,-0.06343894616029654,-0.10183789020062936,-0.03034591132917864,0.8666666666666667,True
FairGB/Bail,common,negEO,30,-0.058916269214112145,-0.09180741817116982,-0.030909564063472877,0.8333333333333334,True
