location,label,quantity,coordinate,value,definition,source_file,changed_vs_frozen
Sec. 4.2.1 body; tab:exp1-summary row 'Package larger',tab:exp1-summary,package larger,dAUC,27/36,"|tau_{B->-I}| > |tau_{-I->+I}|, strict, unrounded cell means",results/cell_results.csv,yes
Sec. 4.2.1 body,,tau_pkg < 0,dAUC,18/36,tau_{B->+I} mean < 0,results/cell_results.csv,yes
Sec. 4.2.1 body; tab:exp1-summary row 'Opposite sign',tab:exp1-summary,opposite sign,dAUC,16/36,sign(tau_pkg) * sign(tau_I) < 0; exactly 0 counts as neither,results/cell_results.csv,yes
tab:exp1-summary row 'Resolved',tab:exp1-summary,resolved,dAUC,11/36,"unit-level sign consistency >= 0.75, |tau| >= 0.010, 95% interval excludes 0",results/cell_results.csv,no
tab:exp1-summary row 'Median |tau_B->-I|',tab:exp1-summary,median abs tau_nonint,dAUC,0.037,median over the 36 primary cells,results/cell_results.csv,yes
Sec. 4.2.1 body; tab:exp1-summary row 'Package larger',tab:exp1-summary,package larger,negDP,26/36,"|tau_{B->-I}| > |tau_{-I->+I}|, strict, unrounded cell means",results/cell_results.csv,no
Sec. 4.2.1 body,,tau_pkg < 0,negDP,19/36,tau_{B->+I} mean < 0,results/cell_results.csv,yes
Sec. 4.2.1 body; tab:exp1-summary row 'Opposite sign',tab:exp1-summary,opposite sign,negDP,18/36,sign(tau_pkg) * sign(tau_I) < 0; exactly 0 counts as neither,results/cell_results.csv,no
tab:exp1-summary row 'Resolved',tab:exp1-summary,resolved,negDP,8/36,"unit-level sign consistency >= 0.75, |tau| >= 0.010, 95% interval excludes 0",results/cell_results.csv,no
tab:exp1-summary row 'Median |tau_B->-I|',tab:exp1-summary,median abs tau_nonint,negDP,0.040,median over the 36 primary cells,results/cell_results.csv,yes
Sec. 4.2.1 body; tab:exp1-summary row 'Package larger',tab:exp1-summary,package larger,negEO,29/36,"|tau_{B->-I}| > |tau_{-I->+I}|, strict, unrounded cell means",results/cell_results.csv,no
Sec. 4.2.1 body,,tau_pkg < 0,negEO,20/36,tau_{B->+I} mean < 0,results/cell_results.csv,yes
Sec. 4.2.1 body; tab:exp1-summary row 'Opposite sign',tab:exp1-summary,opposite sign,negEO,15/36,sign(tau_pkg) * sign(tau_I) < 0; exactly 0 counts as neither,results/cell_results.csv,no
tab:exp1-summary row 'Resolved',tab:exp1-summary,resolved,negEO,9/36,"unit-level sign consistency >= 0.75, |tau| >= 0.010, 95% interval excludes 0",results/cell_results.csv,no
