method,configuration,dataset,store_name,n_units,dAUC_mean,dAUC_lo,dAUC_hi,dAUC_frozen_sign,dAUC_frozen_resolved,dAUC_sign_majority,dAUC_sign_pointest,dAUC_sign_boot,dAUC_interval_excl0,dAUC_mag_ok,dAUC_resolved_majority,dAUC_resolved_pointest,dAUC_resolved_boot,negDP_mean,negDP_lo,negDP_hi,negDP_frozen_sign,negDP_frozen_resolved,negDP_sign_majority,negDP_sign_pointest,negDP_sign_boot,negDP_interval_excl0,negDP_mag_ok,negDP_resolved_majority,negDP_resolved_pointest,negDP_resolved_boot,negEO_mean,negEO_lo,negEO_hi,negEO_frozen_sign,negEO_frozen_resolved,negEO_sign_majority,negEO_sign_pointest,negEO_sign_boot,negEO_interval_excl0,negEO_mag_ok,negEO_resolved_majority,negEO_resolved_pointest,negEO_resolved_boot
BIND,1pct,bail,BIND-1pct,30,0.0007436333333333341,-0.0017406783333333165,0.003803172500000002,0.6333333333333333,False,0.6333333333333333,0.6333333333333333,0.6818,False,False,False,False,False,0.0005512666666666659,-0.0021502966666666653,0.003092256666666664,0.6333333333333333,False,0.6333333333333333,0.6333333333333333,0.6678,False,False,False,False,False,-0.0006721333333333332,-0.006770883333333334,0.0062434491666666665,0.5333333333333333,False,0.5333333333333333,0.5333333333333333,0.5963,False,False,False,False,False
BIND,1pct,income,BIND-1pct,30,-0.00039900000000000493,-0.0016506449999999992,0.0006816166666666633,0.5,False,0.5,0.5,0.7479,False,False,False,False,False,0.0423383,0.03557995083333335,0.04894752499999998,1.0,True,1.0,1.0,1.0,True,True,True,True,True,0.0542695,0.0360738475,0.07064777749999998,0.9666666666666668,True,0.9666666666666667,0.9666666666666667,1.0,True,True,True,True,True
BeMap,default,bail,BeMap,30,-0.13926479999999997,-0.20680630833333336,-0.09221098749999998,1.0,True,1.0,1.0,1.0,True,True,True,True,True,0.05965323333333334,0.041547243333333324,0.07400876333333332,1.0,True,1.0,1.0,1.0,True,True,True,True,True,0.02430266666666667,0.015621105000000001,0.03607642666666665,1.0,True,1.0,1.0,1.0,True,True,True,True,True
BeMap,default,credit,BeMap,30,-0.03578033333333333,-0.04385366749999999,-0.03086191416666667,1.0,True,1.0,1.0,1.0,True,True,True,True,True,0.0224974,-0.01972452166666666,0.06733463166666667,0.7,False,0.7,0.7,0.8398,False,True,False,False,False,0.01621966666666667,-0.030047422499999997,0.06400195249999999,0.7,False,0.7,0.7,0.7389,False,True,False,False,False
BeMap,default,pokec_z,BeMap,30,-0.015076533333333319,-0.02364558916666665,-0.007315849166666655,0.9666666666666668,True,0.9666666666666667,0.9666666666666667,1.0,True,True,True,True,True,-0.06677786666666667,-0.14391702666666667,0.005951518333333334,0.7,False,0.7,0.7,0.9626,False,True,False,False,False,-0.03972996666666666,-0.09579254583333333,0.012787394166666619,0.5333333333333333,False,0.5333333333333333,0.5333333333333333,0.9097,False,True,False,False,False
EDITS,default,bail,EDITS,30,-0.03856349999999999,-0.09970148000000001,0.010671275000000015,0.5,False,0.5,0.5,0.9192,False,True,False,False,False,0.0073023666666666666,-0.0033266958333333357,0.020095016666666667,0.6,False,0.6,0.6,0.8935,False,False,False,False,False,0.005072699999999999,-0.0008053183333333326,0.01176594083333333,0.6666666666666666,False,0.6666666666666666,0.6666666666666666,0.9548,False,False,False,False,False
EDITS,default,credit,EDITS,30,-0.013007533333333324,-0.020462304166666667,-0.004457572499999971,0.8,True,0.8,0.8,0.9988,True,True,True,True,True,0.20922433333333335,0.07275192083333334,0.3406353549999999,0.8666666666666667,True,0.8666666666666667,0.8666666666666667,0.9995,True,True,True,True,True,0.23291149999999997,0.09316024416666674,0.3638465683333335,0.9,True,0.9,0.9,0.9999,True,True,True,True,True
EDITS,default,german,EDITS,30,-0.028906633333333317,-0.06277627666666664,0.006153602500000011,0.8333333333333334,False,0.8333333333333334,0.8333333333333334,0.9475,False,True,False,False,False,0.2759781,0.11594881750000002,0.39909257249999996,0.8666666666666667,True,0.8666666666666667,0.8666666666666667,0.9993,True,True,True,True,True,0.22113693333333334,0.08534941583333333,0.3397076774999999,0.8666666666666667,True,0.8666666666666667,0.8666666666666667,0.9993,True,True,True,True,True
FairEdit,default,bail,FairEdit,30,-6.0000000000023e-06,-2.169999999999885e-05,7.734166666670064e-06,0.6333333333333333,False,0.6333333333333333,0.6333333333333333,0.795,False,False,False,False,False,4.400000000000029e-05,-9.653750000000031e-05,0.0001894341666666676,0.7,False,0.7,0.7,0.7361,False,False,False,False,False,3.536666666666653e-05,-0.00010456666666666682,0.00020859999999999951,0.6666666666666666,False,0.6666666666666666,0.6666666666666666,0.6337,False,False,False,False,False
FairEdit,default,credit,FairEdit,30,-4.0000000000040005e-07,-1.0333333333446363e-06,1.6666666667886077e-07,0.5666666666666667,False,0.56,0.56,0.9031,False,False,False,False,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False,False,False,False
