run_set,term,mean,lo,hi,sign_consistency,n_units,resolved,seed,reps,source_H1_D0,source_H1_D1
frozen,theta00,-0.006452,-0.042157,0.031769,0.6,30,False,20260924,10000,x24_nifty_german_P10.csv,armB_native_NIFTY_german.csv
frozen,theta01,0.028836,-0.006733,0.073171,0.6333,30,False,20260924,10000,x24_nifty_german_P10.csv,armB_native_NIFTY_german.csv
frozen,theta10,-0.060804,-0.130434,0.00653,0.7,30,False,20260924,10000,x24_nifty_german_P10.csv,armB_native_NIFTY_german.csv
frozen,theta11,-0.151023,-0.225364,-0.08062,0.9333,30,True,20260924,10000,x24_nifty_german_P10.csv,armB_native_NIFTY_german.csv
frozen,Delta_H,-0.117106,-0.184489,-0.056108,0.9,30,True,20260924,10000,x24_nifty_german_P10.csv,armB_native_NIFTY_german.csv
frozen,Delta_D,-0.027466,-0.086269,0.01676,0.5667,30,False,20260924,10000,x24_nifty_german_P10.csv,armB_native_NIFTY_german.csv
frozen,Gamma_HD,-0.125508,-0.220142,-0.042305,0.7333,30,False,20260924,10000,x24_nifty_german_P10.csv,armB_native_NIFTY_german.csv
frozen,Delta_H|D=1,-0.179859,-0.255334,-0.107325,0.9,30,True,20260924,10000,x24_nifty_german_P10.csv,armB_native_NIFTY_german.csv
rerun,theta00,-0.006452,-0.042157,0.031769,0.6,30,False,20260924,10000,x25/x25_R10.csv,x25/x25_R11.csv
rerun,theta01,0.028836,-0.006733,0.073171,0.6333,30,False,20260924,10000,x25/x25_R10.csv,x25/x25_R11.csv
rerun,theta10,-0.042694,-0.120958,0.032494,0.6667,30,False,20260924,10000,x25/x25_R10.csv,x25/x25_R11.csv
rerun,theta11,-0.147952,-0.22352,-0.076531,0.9,30,True,20260924,10000,x25/x25_R10.csv,x25/x25_R11.csv
rerun,Delta_H,-0.106515,-0.176032,-0.04295,0.8333,30,True,20260924,10000,x25/x25_R10.csv,x25/x25_R11.csv
rerun,Delta_D,-0.034985,-0.098043,0.012959,0.5667,30,False,20260924,10000,x25/x25_R10.csv,x25/x25_R11.csv
rerun,Gamma_HD,-0.140547,-0.239558,-0.05523,0.7667,30,True,20260924,10000,x25/x25_R10.csv,x25/x25_R11.csv
rerun,Delta_H|D=1,-0.176788,-0.249389,-0.103486,0.9333,30,True,20260924,10000,x25/x25_R10.csv,x25/x25_R11.csv
