method,dataset,primary_eligible,included,configuration,backbone,units_done,matched_construction_status,exclusion_reason,in_feasibility,primary_controlled,robustness_controlled,native
BIND,bail,yes,yes,1pct,GCN,30,valid,,yes,done,done,excluded
BIND,credit,no,no,,,0,not_established,unsupported_released_configuration,no,,,
BIND,german,no,no,,,0,not_established,unsupported_released_configuration,no,,,
BIND,income,yes,yes,1pct,GCN,30,valid,,yes,done,done,excluded
BIND,nba,no,no,,,0,not_established,unsupported_released_configuration,no,,,
BIND,pokec_n,no,no,,,0,not_established,unsupported_released_configuration,yes,excluded,excluded,excluded
BIND,pokec_n_g,no,no,,,0,not_established,unsupported_released_configuration,no,,,
BIND,pokec_z,no,no,,,0,not_established,unsupported_released_configuration,yes,excluded,excluded,excluded
BIND,pokec_z_g,no,no,,,0,not_established,unsupported_released_configuration,no,,,
BeMap,bail,yes,yes,default,GCN,30,valid,,yes,done,done,excluded
BeMap,credit,yes,yes,default,GCN,30,valid,,yes,done,done,excluded
BeMap,german,no,no,,,0,not_established,unsupported_released_configuration,no,,,
BeMap,income,no,no,,,0,not_established,unsupported_released_configuration,no,,,
BeMap,nba,no,no,,,0,not_established,invalid_evaluation_split,yes,excluded,excluded,excluded
BeMap,pokec_n,no,no,,,0,not_established,unsupported_released_configuration,no,,,
BeMap,pokec_n_g,no,no,,,0,not_established,unsupported_released_configuration,no,,,
BeMap,pokec_z,yes,yes,default,GCN,30,valid,,yes,done,done,excluded
BeMap,pokec_z_g,no,no,,,0,not_established,unsupported_released_configuration,no,,,
EDITS,bail,yes,yes,default,GCN,30,valid,,yes,done,no configuration,no configuration
EDITS,credit,yes,yes,default,GCN,30,valid,,yes,done,no configuration,no configuration
EDITS,german,yes,yes,default,GCN,30,valid,,yes,done,no configuration,no configuration
EDITS,income,no,no,,,0,not_established,unsupported_released_configuration,no,,,
EDITS,nba,no,no,,,0,not_established,unsupported_released_configuration,no,,,
EDITS,pokec_n,no,no,,,0,not_established,unsupported_released_configuration,no,,,
EDITS,pokec_n_g,no,no,,,0,not_established,unsupported_released_configuration,no,,,
EDITS,pokec_z,no,no,,,0,not_established,unsupported_released_configuration,no,,,
EDITS,pokec_z_g,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FMP,bail,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FMP,credit,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FMP,german,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FMP,income,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FMP,nba,no,no,,,0,not_established,invalid_evaluation_split,yes,excluded,excluded,excluded
FMP,pokec_n,no,yes,,,0,valid,included_reported_separately,yes,component study,no configuration,no configuration
FMP,pokec_n_g,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FMP,pokec_z,no,yes,,,0,valid,included_reported_separately,yes,component study,no configuration,no configuration
FMP,pokec_z_g,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FairEdit,bail,yes,yes,default,GCN,30,valid,,yes,done,no configuration,no configuration
FairEdit,credit,yes,yes,default,GCN,30,valid,,yes,done,no configuration,no configuration
FairEdit,german,yes,yes,default,GCN,30,valid,,yes,done,no configuration,no configuration
FairEdit,income,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FairEdit,nba,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FairEdit,pokec_n,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FairEdit,pokec_n_g,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FairEdit,pokec_z,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FairEdit,pokec_z_g,no,no,,,0,not_established,unsupported_released_configuration,no,,,
FairGB,bail,yes,yes,default,SAGE,30,valid,,yes,done,no configuration,done
