method,dataset,configuration,n_units_identical,max_abs_dauc,max_abs_ddp,max_abs_deo,note
BIND,bail,1pct,0,0.013496999999999981,0.010976,0.024139,n_units=30
BIND,income,1pct,0,0.007369999999999988,0.07337,0.108828,n_units=30
BeMap,bail,default,0,0.392652,0.095979,0.065942,n_units=30
BeMap,credit,default,0,0.110232,0.214411,0.207263,n_units=30
BeMap,pokec_z,default,0,0.037349999999999994,0.23692200000000002,0.178149,n_units=30
EDITS,bail,default,0,0.35916499999999996,0.072728,0.047715999999999995,n_units=30
EDITS,credit,default,0,0.026162999999999936,0.46224600000000005,0.47542,n_units=30
EDITS,german,default,0,0.107962,0.46456299999999995,0.45113000000000003,n_units=30
FairEdit,bail,default,0,0.0001180000000000625,0.0008690000000000087,0.0010749999999999996,n_units=30
FairEdit,credit,default,5,4.000000000004e-06,0.0,0.0,n_units=30
FairEdit,german,default,7,0.001371000000000011,0.02039000000000002,0.029088999999999976,n_units=30
FairGB,bail,default,0,0.05056800000000006,0.175173,0.17252499999999998,n_units=30
FairGB,credit,default,0,0.01899200000000001,0.180313,0.15978199999999998,n_units=30
FairGB,german,default,1,0.17851500000000003,0.400701,0.366523,n_units=30
FairGNN,bail,default,0,0.0007730000000000237,0.0017210000000000003,0.0030829999999999955,n_units=30
FairGNN,credit,default,0,0.033398999999999957,0.06510900000000001,0.07760499999999998,n_units=30
FairGNN,german,default,0,0.24990400000000002,0.437648,0.407247,n_units=30
FairGNN,pokec_n,default,0,0.01849400000000001,0.06639899999999999,0.063582,n_units=30
FairGNN,pokec_n_g,default,0,0.018862999999999963,0.039812,0.03242700000000001,n_units=30
FairGNN,pokec_z,default,0,0.028569999999999984,0.102628,0.078165,n_units=30
FairGNN,pokec_z_g,default,0,0.021194999999999964,0.039862,0.047451999999999994,n_units=30
FairSIN,bail,GCN,0,0.029935999999999963,0.02783999999999999,0.038627,n_units=30
FairSIN,credit,GCN,0,0.26189999999999997,0.152573,0.134694,n_units=30
FairSIN,german,GCN,0,0.30019100000000004,0.422059,0.352,n_units=30
FairSIN,pokec_n,GCN,0,0.025534999999999974,0.109337,0.06104799999999999,n_units=30
FairSIN,pokec_z,GCN,0,0.011990999999999974,0.07630499999999998,0.050952,n_units=30
FairVGNN,bail,default,0,0.09712199999999993,0.041381,0.038633,n_units=30
FairVGNN,credit,default,0,0.041383999999999976,0.332147,0.39733599999999997,n_units=30
FairVGNN,german,default,0,0.10064800000000007,0.513888,0.5,n_units=30
GEAR,bail,default,0,0.016025000000000067,0.106971,0.118737,n_units=30
NIFTY,bail,default,0,0.204418,0.039312,0.028604999999999995,n_units=30
NIFTY,credit,default,0,0.12643099999999996,0.090045,0.091826,n_units=30
NIFTY,german,default,0,0.16914300000000004,0.258456,0.257353,n_units=30
SFG,bail,default,0,0.0584579999999999,0.13053599999999999,0.108693,n_units=30
SFG,credit,default,0,0.022421000000000024,0.099719,0.06443299999999999,n_units=30
SFG,german,default,0,0.11984800000000007,0.362868,0.29600000000000004,n_units=30
