cell,split_id,run_id,common_epoch,sel_M1,sel_M0,grid_restricted,common_dAUC,common_negDP,common_negEO,indep_dAUC,indep_negDP,indep_negEO
NIFTY/German D0,20,0,496,522,384,False,0.024761904761904763,-0.04637206764866342,-0.048319327731092376,0.05287619047619041,-0.07378614293507912,-0.08613445378151263
NIFTY/German D0,20,1,986,986,263,False,0.054400000000000004,-0.1242498636115657,-0.1292016806722689,0.0075428571428571844,-0.06887615930169122,-0.09558823529411764
NIFTY/German D0,20,2,932,932,1000,False,0.034704761904761905,-0.10720130932896893,-0.10399159663865543,0.03447619047619044,-0.11361156573922532,-0.11239495798319321
NIFTY/German D0,20,3,964,988,409,False,0.04182857142857144,-0.04800872885979274,-0.07563025210084029,0.046704761904761916,-0.05414620840152756,-0.06932773109243695
NIFTY/German D0,20,4,1000,1000,1000,False,0.05676190476190468,-0.2415439170758319,-0.17331932773109238,0.05676190476190468,-0.2415439170758319,-0.17331932773109238
NIFTY/German D0,21,0,675,996,400,False,0.02224761904761907,0.10027641277641275,0.10399999999999998,0.052342857142857246,-0.02794840294840295,-0.01200000000000001
NIFTY/German D0,21,1,423,423,440,False,0.002590476190476143,0.06726044226044225,0.03600000000000003,0.0031999999999999806,0.05727886977886981,0.040000000000000036
NIFTY/German D0,21,2,1000,1000,1000,False,0.02780952380952373,-0.057278869778869757,0.02400000000000002,0.02780952380952373,-0.057278869778869757,0.02400000000000002
NIFTY/German D0,21,3,718,718,486,False,-0.048838095238095236,0.046990171990171956,0.027999999999999928,-0.04609523809523808,0.06894963144963144,0.05200000000000006
NIFTY/German D0,21,4,975,966,1000,False,0.01588571428571428,-0.14573095823095827,-0.11199999999999993,0.016380952380952385,-0.1251535626535627,-0.09200000000000003
NIFTY/German D0,22,0,895,999,419,False,-0.062209523809523826,0.08848314606741586,0.10400000000000004,0.09874285714285708,-0.2901061173533084,-0.24
NIFTY/German D0,22,1,722,722,468,False,-0.05401904761904752,0.12484394506866425,0.17599999999999988,-0.0325333333333333,0.17275280898876405,0.23199999999999993
NIFTY/German D0,22,2,999,999,1000,False,-0.06956190476190482,-0.025593008739076106,-0.007999999999999952,-0.06948571428571426,-0.025593008739076106,-0.007999999999999952
NIFTY/German D0,22,3,970,970,415,False,-0.03161904761904755,0.21239076154806483,0.16800000000000004,0.019885714285714284,0.33099250936329594,0.27999999999999997
NIFTY/German D0,22,4,999,999,1000,False,-0.038247619047618975,0.047128589263420756,-0.020000000000000018,-0.038247619047618975,0.047128589263420756,-0.020000000000000018
