baseline,coordinate,n_cells,package_larger,tau_pkg_negative,opposite_sign,median_abs_tau_nonint,median_abs_tau_I,resolved,median_abs_tau_nonint_Mod,median_abs_tau_nonint_Con,median_abs_tau_nonint_Reg
frozen,dAUC,36,31,9,19,0.10416539375730755,0.0104486746205976,11,0.1125222922973942,0.0277799879101459,0.0601841269841269
frozen,negDP,36,26,23,19,0.03865740659005655,0.01202369973792685,8,0.0720660660749378,0.0363698748477489,0.0376532819503775
frozen,negEO,36,29,24,16,0.02789657778283825,0.0113500901111932,9,0.08282756954440065,0.0152133735882059,0.0295179795040229
B_rep1,dAUC,36,27,18,16,0.03675987652016255,0.0104486746205976,11,0.10713621132345391,0.024260213471084,0.0461714285714285
B_rep1,negDP,36,26,19,19,0.0395965198663063,0.01202369973792685,8,0.05282999879986515,0.0363698748477489,0.0376532819503775
B_rep1,negEO,36,29,20,16,0.02762903908631465,0.0113500901111932,9,0.0407552937575739,0.017190649876972,0.0295179795040229
B_rep2,dAUC,36,27,18,16,0.03676717446599155,0.0104486746205976,11,0.10722702251217285,0.0242602845750186,0.0463530158730158
B_rep2,negDP,36,26,19,19,0.038787198563763295,0.01202369973792685,8,0.0538235461522035,0.0363698748477489,0.0376532819503775
B_rep2,negEO,36,29,20,16,0.02789657778283825,0.0113500901111932,9,0.0407552937575739,0.0184086718079666,0.0296242818049205
B_H1000,dAUC,36,20,30,14,0.01643420225142555,0.0104486746205976,11,0.02091976979527945,0.0064190177690432,0.0179091514856372
B_H1000,negDP,36,19,13,11,0.01568262089624015,0.01202369973792685,8,0.015063200490935999,0.0071387958290206,0.0179915167945696
B_H1000,negEO,36,20,16,12,0.0153313816219805,0.0113500901111932,9,0.008284066851909,0.0119992112172553,0.01976370466773
