baseline,dataset,n_distinct_baselines,auc,dp,eo,horizon,epoch_median
frozen,bail,11,0.7734225795397244,0.04143237621604175,0.021452543670319287,,
frozen,credit,9,0.7186094945202943,0.17419152563666102,0.14787296307739156,,
frozen,german,9,0.44147120181405897,0.1301202447620789,0.1369521171648328,,
frozen,income,1,0.6530218807157167,0.0670997942585132,0.06700759844723715,,
frozen,pokec_n,3,0.7112355112061808,0.08371720519116566,0.08876403423432516,,
frozen,pokec_n_g,1,0.7109638260910347,0.10890407271723732,0.14895938551724008,,
frozen,pokec_z,4,0.7037658037845106,0.07954153195837428,0.06784529032526507,,
frozen,pokec_z_g,1,0.7038095565829114,0.03533546879112643,0.04456116419204483,,
B_rep1,bail,1,0.7734225560933002,0.04143237621604175,0.021452543670319287,200,200.0
B_rep1,credit,1,0.7177157176048686,0.17437420504613435,0.14859643841693213,200,196.5
B_rep1,german,1,0.6542653968253968,0.33023583820593694,0.2781493096529392,1000,991.0
B_rep1,income,1,0.6520208979216903,0.06770147819368638,0.06506432583536444,200,115.5
B_rep1,pokec_n,1,0.7112355171795871,0.08371720519116566,0.08876403423432516,200,139.0
B_rep1,pokec_n_g,1,0.7109637985105375,0.10890407271723732,0.14895938551724008,200,141.5
B_rep1,pokec_z,1,0.7037658285530201,0.0795415319583743,0.06784529032526505,200,200.0
B_rep1,pokec_z_g,1,0.7038095972322757,0.03533546879112643,0.04456116419204483,200,200.0
B_rep2,bail,1,0.7734225210174497,0.04143237621604175,0.021452543670319287,200,200.0
B_rep2,credit,1,0.717882709014798,0.1725271192593215,0.14546937556509457,200,195.0
B_rep2,german,1,0.6544469841269841,0.332245177411205,0.27936733158393384,1000,990.5
B_rep2,income,1,0.6537611211373356,0.06438053032716097,0.06945252669109273,200,128.5
B_rep2,pokec_n,1,0.7112355998353159,0.08371720519116566,0.08876403423432516,200,139.0
B_rep2,pokec_n_g,1,0.7109637985132875,0.10890407271723732,0.14895938551724008,200,141.5
B_rep2,pokec_z,1,0.7037657574490853,0.0795415319583743,0.06784529032526505,200,200.0
B_rep2,pokec_z_g,1,0.7038095972498887,0.03533546879112643,0.04456116419204483,200,200.0
B_H1000,bail,1,0.9068646213746877,0.07827350961657169,0.03127936538609951,1000,972.5
B_H1000,credit,1,0.7304336207468584,0.11524036267546546,0.07636262824748777,1000,714.5
B_H1000,german,1,0.6524901587301586,0.3279523028888346,0.274596426437005,1000,992.5
B_H1000,income,1,0.7026839871780627,0.14529062618517338,0.16429626986774265,1000,625.5
B_H1000,pokec_n,1,0.7144562426204223,0.09109936423652797,0.09465455396888105,1000,139.0
B_H1000,pokec_n_g,1,0.7143884703551734,0.11121271406472631,0.15480590245180526,1000,141.5
B_H1000,pokec_z,1,0.7290079500172654,0.11200461937391401,0.09020305719373188,1000,619.0
B_H1000,pokec_z_g,1,0.7290024270906815,0.03585694376558612,0.05087569086105105,1000,615.5
