family,method,dataset,configuration,native_evaluation_role,coordinate,n_matched_units,tau_controlled,tau_published,delta_attr,abs_delta_attr,ci_low,ci_high,ci_excludes_zero,rerun_max_cross_cell,exceeds_rerun_max,rerun_max_same_cell,exceeds_same_cell_max,bootstrap_seed,bootstrap_reps
native,FairGB,bail,default,targeted,dAUC,30,0.019466089432959945,0.062444490872115774,0.042978401439155815,0.042978401439155815,0.03488830501946907,0.05267763646355332,True,0.01174,True,0.00251,True,20260914,10000
native,FairGB,bail,default,targeted,negDP,30,-0.05967847882306418,-0.010277096017912745,0.04940138280515142,0.04940138280515142,0.018182635351595058,0.08126758264338425,True,0.066773,False,0.00542,True,20260914,10000
native,FairGB,bail,default,targeted,negEO,30,-0.0654411114118266,0.002037832208821971,0.06747894362064857,0.06747894362064857,0.033537975979182746,0.10046553148388442,True,0.045986,True,0.00805,True,20260914,10000
native,FairGB,credit,default,targeted,dAUC,30,-0.007588469706756196,0.0032477594159636652,0.010836229122719861,0.010836229122719861,0.0063038126812888775,0.015571160681026224,True,0.01174,False,,,20260914,10000
native,FairGB,credit,default,targeted,negDP,30,0.013940207380883534,0.08101070359283453,0.06707049621195098,0.06707049621195098,0.030964722541913996,0.1050810587725075,True,0.066773,True,,,20260914,10000
native,FairGB,credit,default,targeted,negEO,30,0.007903880457788002,0.06827733372007459,0.06037345326228662,0.06037345326228662,0.025987693853785767,0.0992287943932096,True,0.045986,True,,,20260914,10000
native,FairSIN,bail,GCN,systematic,dAUC,30,0.0033323365414344,0.0038717935570636926,0.0005394570156292929,0.0005394570156292929,-0.002769217277292588,0.003920696387646578,False,0.01174,False,,,20260914,10000
native,FairSIN,bail,GCN,systematic,negDP,30,0.0050636385218032895,0.0052717614646517474,0.00020812294284845665,0.00020812294284845665,-0.0019142213427923755,0.00265355101003534,False,0.066773,False,,,20260914,10000
native,FairSIN,bail,GCN,systematic,negEO,30,-0.005636972188986378,-0.004596729462794713,0.0010402427261916663,0.0010402427261916663,-0.0028028894421497914,0.005652283552618324,False,0.045986,False,,,20260914,10000
native,FairSIN,credit,GCN,systematic,dAUC,30,-0.04587965452586778,-0.04896310220990192,-0.003083447684034139,0.003083447684034139,-0.02703991382100517,0.027142265480962408,False,0.01174,False,0.00866,False,20260914,10000
native,FairSIN,credit,GCN,systematic,negDP,30,0.07656166495356928,0.08256181375832078,0.006000148804751495,0.006000148804751495,-0.01344768103378276,0.02722051807603128,False,0.066773,False,0.01866,False,20260914,10000
native,FairSIN,credit,GCN,systematic,negEO,30,0.058928185504997475,0.06674486386581155,0.007816678360814086,0.007816678360814086,-0.0093102157702758,0.027539193814895058,False,0.045986,False,0.01576,False,20260914,10000
native,FairSIN,german,GCN,systematic,dAUC,30,-0.10966095238095237,-0.09098793650793653,0.018673015873015862,0.018673015873015862,-0.019759873015873036,0.05770958730158731,False,0.01174,True,,,20260914,10000
native,FairSIN,german,GCN,systematic,negDP,30,0.17890743199046613,0.14931328821287684,-0.02959414377758929,0.02959414377758929,-0.08865312461714031,0.037294495687948126,False,0.066773,False,,,20260914,10000
native,FairSIN,german,GCN,systematic,negEO,30,0.13216414412100536,0.08295821408350572,-0.049205930037499644,0.049205930037499644,-0.10678611331855438,0.012147376743398252,False,0.045986,True,,,20260914,10000
native,FairSIN,pokec_n,GCN,systematic,dAUC,30,0.0027522852895109696,0.0028543026991202703,0.00010201740960930072,0.00010201740960930072,-0.00017377254523672807,0.000577390778652876,False,0.01174,False,,,20260914,10000
native,FairSIN,pokec_n,GCN,systematic,negDP,30,-0.001908624742727676,-0.0007153627645720519,0.0011932619781556241,0.0011932619781556241,-0.00031919015744205203,0.003928610863876273,False,0.066773,False,,,20260914,10000
native,FairSIN,pokec_n,GCN,systematic,negEO,30,-0.0005040255438316973,0.0005259615061979982,0.0010299870500296955,0.0010299870500296955,-0.00036330608537692063,0.0036687333063562615,False,0.045986,False,,,20260914,10000
native,FairSIN,pokec_z,GCN,systematic,dAUC,30,0.0012218753653554773,0.0012626292153814019,4.07538500259245e-05,4.07538500259245e-05,-1.2600256503333037e-06,0.00016470189846607317,False,0.01174,False,,,20260914,10000
native,FairSIN,pokec_z,GCN,systematic,negDP,30,0.01781659615580084,0.01639795378684522,-0.0014186423689556166,0.0014186423689556166,-0.0056745694758224665,0.0,False,0.066773,False,,,20260914,10000
native,FairSIN,pokec_z,GCN,systematic,negEO,30,0.014248809464120564,0.013890699881817426,-0.0003581095823031402,0.0003581095823031402,-0.0014324383292125607,0.0,False,0.045986,False,,,20260914,10000
native,FairSIN,bail,GIN,systematic,dAUC,30,0.00662164776907388,0.004201812668938054,-0.0024198351001358254,0.0024198351001358254,-0.008764003315879593,0.0032185770282260016,False,0.01174,False,,,20260914,10000
native,FairSIN,bail,GIN,systematic,negDP,30,0.00024102766412774045,0.002953822745287371,0.0027127950811596294,0.0027127950811596294,-0.00450036105996861,0.008106168910673686,False,0.066773,False,,,20260914,10000
native,FairSIN,bail,GIN,systematic,negEO,30,-0.010675606368361493,-0.00808130617620361,0.0025943001921578867,0.0025943001921578867,-0.008920009027020896,0.012528633801237515,False,0.045986,False,,,20260914,10000
native,FairSIN,credit,GIN,systematic,dAUC,30,-0.03454253545078118,-0.029047355207692763,0.005495180243088419,0.005495180243088419,-0.0029016784003196134,0.01964809137268551,False,0.01174,False,0.00866,False,20260914,10000
native,FairSIN,credit,GIN,systematic,negDP,30,0.06049274789960298,0.053808523399342424,-0.006684224500260566,0.006684224500260566,-0.014892046483112906,0.0016825586373206234,False,0.066773,False,0.01866,False,20260914,10000
native,FairSIN,credit,GIN,systematic,negEO,30,0.03583459098939653,0.030936845970970923,-0.004897745018425616,0.004897745018425616,-0.01263112877605936,0.002810378509728316,False,0.045986,False,0.01576,False,20260914,10000
native,FairSIN,german,GIN,systematic,dAUC,30,-0.002854603174603165,-0.00898031746031746,-0.006125714285714293,0.006125714285714293,-0.02216679365079367,0.0088462857142857,False,0.01174,False,,,20260914,10000
native,FairSIN,german,GIN,systematic,negDP,30,0.0013284817005857327,0.03527609979045831,0.03394761808987257,0.03394761808987257,0.002021651080941902,0.06900390888992426,True,0.066773,False,,,20260914,10000
native,FairSIN,german,GIN,systematic,negEO,30,-0.009252633588896556,0.004169381162630531,0.01342201475152709,0.01342201475152709,-0.02286620648259304,0.044382950002104855,False,0.045986,False,,,20260914,10000
native,FairSIN,pokec_n,GIN,systematic,dAUC,30,0.005317402141658615,0.007805258287630364,0.002487856145971749,0.002487856145971749,-0.004845381710679564,0.009882113120043903,False,0.01174,False,,,20260914,10000
native,FairSIN,pokec_n,GIN,systematic,negDP,30,0.006789535548717904,0.014743816585292613,0.007954281036574707,0.007954281036574707,-0.01041810445067606,0.026066410627166883,False,0.066773,False,,,20260914,10000
native,FairSIN,pokec_n,GIN,systematic,negEO,30,0.0008290845287196905,0.006587111920516275,0.005758027391796586,0.005758027391796586,-0.012381576951935695,0.027129407788527668,False,0.045986,False,,,20260914,10000
native,FairSIN,pokec_z,GIN,systematic,dAUC,30,0.0053110724249815925,0.008126674183076348,0.0028156017580947545,0.0028156017580947545,-0.003939522897520353,0.009024914751017538,False,0.01174,False,,,20260914,10000
native,FairSIN,pokec_z,GIN,systematic,negDP,30,0.004171211573977173,-0.008738490782655687,-0.012909702356632857,0.012909702356632857,-0.02884444888884163,0.00549160015380599,False,0.066773,False,,,20260914,10000
native,FairSIN,pokec_z,GIN,systematic,negEO,30,0.004978678147003007,-0.002026899267642952,-0.00700557741464596,0.00700557741464596,-0.019160529528942993,0.008139654474798513,False,0.045986,False,,,20260914,10000
native,FairSIN,bail,SAGE,systematic,dAUC,30,0.013057227717013635,0.011077352199294085,-0.00197987551771955,0.00197987551771955,-0.009844121485144675,0.0050627360285872,False,0.01174,False,,,20260914,10000
native,FairSIN,bail,SAGE,systematic,negDP,30,-0.00240061148278458,-0.0034206464700712305,-0.00102003498728665,0.00102003498728665,-0.010409418498233552,0.008265356055100275,False,0.066773,False,,,20260914,10000
native,FairSIN,bail,SAGE,systematic,negEO,30,-0.004977227658259668,-0.0010277055833822029,0.003949522074877466,0.003949522074877466,-0.010101220365662942,0.015662298644184603,False,0.045986,False,,,20260914,10000
native,FairSIN,credit,SAGE,systematic,dAUC,30,-0.013969538080959095,-0.015536198579894503,-0.001566660498935409,0.001566660498935409,-0.0066367895469304295,0.00264067496823341,False,0.01174,False,0.00866,False,20260914,10000
native,FairSIN,credit,SAGE,systematic,negDP,30,-0.04939466196833363,-0.025383226909122217,0.024011435059211418,0.024011435059211418,-0.03122284447253936,0.08009359490637673,False,0.066773,False,0.01866,True,20260914,10000
native,FairSIN,credit,SAGE,systematic,negEO,30,-0.03830089815519702,-0.020152974672961985,0.01814792348223504,0.01814792348223504,-0.02525612402095767,0.06363807204686278,False,0.045986,False,0.01576,True,20260914,10000
native,FairSIN,german,SAGE,systematic,dAUC,30,-0.015032380952380957,-0.023014603174603188,-0.00798222222222223,0.00798222222222223,-0.02481523809523811,0.00876736507936506,False,0.01174,False,,,20260914,10000
native,FairSIN,german,SAGE,systematic,negDP,30,0.004527492260862148,0.015799809622661875,0.011272317361799726,0.011272317361799726,-0.03454808928625565,0.05845741992203616,False,0.066773,False,,,20260914,10000
native,FairSIN,german,SAGE,systematic,negEO,30,0.013744389771274925,0.01446621865058078,0.0007218288793058497,0.0007218288793058497,-0.04906511904761903,0.04723086919874332,False,0.045986,False,,,20260914,10000
native,FairSIN,pokec_n,SAGE,systematic,dAUC,30,-0.00012771069823162747,-0.00014188858418080115,-1.4177885949173685e-05,1.4177885949173685e-05,-0.0005490670348345239,0.0004151396049768229,False,0.01174,False,,,20260914,10000
native,FairSIN,pokec_n,SAGE,systematic,negDP,30,0.0019621394150995354,0.0023061758144809256,0.00034403639938138965,0.00034403639938138965,-0.001795826866883289,0.0025763540321884055,False,0.066773,False,,,20260914,10000
native,FairSIN,pokec_n,SAGE,systematic,negEO,30,0.009849867982795257,0.010487929304130606,0.0006380613213353467,0.0006380613213353467,-0.0015439025779039179,0.0028316570258126498,False,0.045986,False,,,20260914,10000
native,FairSIN,pokec_z,SAGE,systematic,dAUC,30,-0.0028323524916814002,-0.0032610357990048968,-0.00042868330732349637,0.00042868330732349637,-0.0019549236659035284,0.00025019748283756584,False,0.01174,False,,,20260914,10000
native,FairSIN,pokec_z,SAGE,systematic,negDP,30,-0.003426633735740707,-0.003461331373382784,-3.469763764207638e-05,3.469763764207638e-05,-0.0007349581935882831,0.0007272459884896267,False,0.066773,False,,,20260914,10000
native,FairSIN,pokec_z,SAGE,systematic,negEO,30,-0.004007303656210586,-0.003509262916457046,0.0004980407397535402,0.0004980407397535402,-0.001009289499584863,0.00347547948461195,False,0.045986,False,,,20260914,10000
native,FairVGNN,bail,default,targeted,dAUC,30,-0.04213808928704445,-0.0265565929078926,0.015581496379151846,0.015581496379151846,0.006487552951779485,0.025550126132758682,True,0.01174,True,,,20260914,10000
native,FairVGNN,bail,default,targeted,negDP,30,0.006893771339994484,0.0031596527795047383,-0.003734118560489746,0.003734118560489746,-0.00871567905362825,0.0011774858959816828,False,0.066773,False,,,20260914,10000
native,FairVGNN,bail,default,targeted,negEO,30,-0.0054177356661364645,-0.004224539656876114,0.00119319600926035,0.00119319600926035,-0.006102584411105902,0.008509675275738754,False,0.045986,False,,,20260914,10000
native,SFG,bail,default,systematic,dAUC,30,0.0021207433223233707,0.0009609124925129331,-0.0011598308298104375,0.0011598308298104375,-0.004477736528577534,0.0015484337070250894,False,0.01174,False,,,20260914,10000
native,SFG,bail,default,systematic,negDP,30,0.020155288693842956,0.016459368997433013,-0.003695919696409938,0.003695919696409938,-0.012556690408502208,0.003836119423040541,False,0.066773,False,,,20260914,10000
