cell,method,dataset,configuration,pairing,coordinate,n_splits,n_matched_units,tau_a,tau_b,delta,abs_delta,max_unit_abs_delta,n_units_changed,ci_low,ci_high,ci_excludes_zero,bootstrap_seed,bootstrap_reps
SFG_german,SFG,german,default,frozen vs rep1,dAUC,6,30,-0.011873015873015876,-0.002105396825396829,0.009767619047619048,0.009767619047619048,0.1920761904761904,30,-0.022814222222222208,0.04283034920634916,False,20260914,10000
SFG_german,SFG,german,default,frozen vs rep1,negDP,6,30,0.07339332584567933,0.006620085101872026,-0.06677324074380729,0.06677324074380729,0.3985642946317103,30,-0.14610444160669953,0.0026656010409776185,False,20260914,10000
SFG_german,SFG,german,default,frozen vs rep1,negEO,6,30,0.06468968161141524,0.018704160440772034,-0.045985521170643216,0.045985521170643216,0.348,30,-0.11995169971830338,0.017402565258816276,False,20260914,10000
SFG_german,SFG,german,default,frozen vs rep2,dAUC,6,30,-0.011873015873015876,-0.0032660317460317502,0.008606984126984126,0.008606984126984126,0.1638857142857142,30,-0.016500507936507952,0.03636730158730157,False,20260914,10000
SFG_german,SFG,german,default,frozen vs rep2,negDP,6,30,0.07339332584567933,0.05552415216260843,-0.017869173683070897,0.017869173683070897,0.653127803604926,30,-0.12074980073267906,0.0846242865350816,False,20260914,10000
SFG_german,SFG,german,default,frozen vs rep2,negEO,6,30,0.06468968161141524,0.05949114039823967,-0.005198541213175583,0.005198541213175583,0.5497007978723405,30,-0.09724774711628154,0.08847860077319933,False,20260914,10000
SFG_german,SFG,german,default,rep1 vs rep2,dAUC,6,30,-0.002105396825396829,-0.0032660317460317502,-0.0011606349206349212,0.0011606349206349212,0.09089523809523803,30,-0.01938292063492064,0.016256634920634935,False,20260914,10000
SFG_german,SFG,german,default,rep1 vs rep2,negDP,6,30,0.006620085101872026,0.05552415216260843,0.0489040670607364,0.0489040670607364,0.6349875156054932,30,-0.06963115620266047,0.17134622678394115,False,20260914,10000
SFG_german,SFG,german,default,rep1 vs rep2,negEO,6,30,0.018704160440772034,0.05949114039823967,0.04078697995746761,0.04078697995746761,0.532,30,-0.07030233128239476,0.15141450922966695,False,20260914,10000
NIFTY_german,NIFTY,german,default,frozen vs rep1,dAUC,6,30,-0.03058920634920633,-0.03108190476190475,-0.0004926984126984242,0.0004926984126984242,0.012266666666666703,29,-0.001932825396825405,0.00037714285714284635,False,20260914,10000
NIFTY_german,NIFTY,german,default,frozen vs rep1,negDP,6,30,-0.006451846881340765,-0.007268326406635829,-0.0008164795252950633,0.0008164795252950633,0.027027027027026904,11,-0.003436291953908766,0.002173370943979514,False,20260914,10000
NIFTY_german,NIFTY,german,default,frozen vs rep1,negEO,6,30,0.004244640468480539,0.0021583881897912958,-0.002086252278689246,0.002086252278689246,0.0439999999999999,10,-0.00737139289048951,0.0022666666666666673,False,20260914,10000
NIFTY_german,NIFTY,german,default,frozen vs rep2,dAUC,6,30,-0.03058920634920633,-0.03079238095238096,-0.00020317460317462733,0.00020317460317462733,0.005333333333333412,27,-0.0009282539682539897,0.0003606349206348819,False,20260914,10000
NIFTY_german,NIFTY,german,default,frozen vs rep2,negDP,6,30,-0.006451846881340765,-0.006008612329066257,0.0004432345522745083,0.0004432345522745083,0.044072481572481594,14,-0.005724301744212519,0.0066917049289652855,False,20260914,10000
NIFTY_german,NIFTY,german,default,frozen vs rep2,negEO,6,30,0.004244640468480539,0.0065424854989277114,0.002297845030447171,0.002297845030447171,0.044,13,-0.0039223087816686875,0.008057173590919826,False,20260914,10000
NIFTY_german,NIFTY,german,default,rep1 vs rep2,dAUC,6,30,-0.03108190476190475,-0.03079238095238096,0.0002895238095237969,0.0002895238095237969,0.009257142857142797,26,-0.0008368253968254027,0.0015568253968253696,False,20260914,10000
NIFTY_german,NIFTY,german,default,rep1 vs rep2,negDP,6,30,-0.007268326406635829,-0.006008612329066257,0.0012597140775695715,0.0012597140775695715,0.06188574938574941,15,-0.0048463236828019205,0.008153560708888244,False,20260914,10000
NIFTY_german,NIFTY,german,default,rep1 vs rep2,negEO,6,30,0.0021583881897912958,0.0065424854989277114,0.004384097309136416,0.004384097309136416,0.06399999999999989,14,-0.002732458188062471,0.011648959441489352,False,20260914,10000
