method,dataset,configuration,coordinate,n_units,tau_I,sd_paired,resolved,R_needed,exceeds_30,icc_split,design_effect,R_needed_design_adjusted
BIND,bail,1pct,dAUC,30,0.0007436080320891528,0.004278202760791632,False,3,False,0.5610019311909308,3.244007724763723,10
BIND,bail,1pct,negDP,30,0.0005513076003535531,0.004934982648548634,False,4,False,0.17332214413232608,1.6932885765293042,7
BIND,bail,1pct,negEO,30,-0.0006720886592446126,0.009583505798923763,False,15,False,0.6363619405184866,3.5454477620739464,54
BIND,income,1pct,dAUC,30,-0.00039890884553231973,0.0022131846619202647,False,1,False,0.17279282771143953,1.6911713108457582,2
BIND,income,1pct,negDP,30,0.04233838199071894,0.016815638108365123,True,46,True,0.0,1.0,46
BIND,income,1pct,negEO,30,0.05426966250573333,0.03083039804393766,True,153,True,0.29675159361860115,2.1870063744744046,335
BeMap,bail,default,dAUC,30,-0.13926478721330915,0.08311975442226062,True,1106,True,0.7842458692705548,4.13698347708222,4576
BeMap,bail,default,negDP,30,0.059653184001909734,0.02231864441085653,True,80,True,0.8386685691400949,4.354674276560379,349
BeMap,bail,default,negEO,30,0.024302717449657976,0.015825721823354816,True,41,True,0.6340601836385552,3.536240734554221,145
BeMap,credit,default,dAUC,30,-0.035780285254646965,0.016555941994165668,True,44,True,0.0,1.0,44
BeMap,credit,default,negDP,30,0.0224973836925205,0.07977677678763927,False,1019,True,0.2417341242429981,1.9669364969719925,2005
BeMap,credit,default,negEO,30,0.01621953950236466,0.08662516757081297,False,1201,True,0.23394820670493047,1.9357928268197218,2325
BeMap,pokec_z,default,dAUC,30,-0.01507648894607736,0.010875799088334416,True,19,False,0.911267477565133,4.645069910260532,89
BeMap,pokec_z,default,negDP,30,-0.06677784952252212,0.10166916660142344,False,1654,True,0.8832497680252546,4.532999072101019,7498
BeMap,pokec_z,default,negEO,30,-0.0397299099900194,0.07364817532586414,False,868,True,0.9033246403592298,4.613298561436919,4005
EDITS,bail,default,dAUC,30,-0.03856350297800349,0.11269620612025655,False,2033,True,0.0965326065460195,1.386130426184078,2819
EDITS,bail,default,negDP,30,0.007302170251964043,0.02369947945154606,False,90,True,0.10404475999007715,1.4161790399603085,128
EDITS,bail,default,negEO,30,0.005072728242307465,0.015709076898334395,False,40,True,0.0,1.0,40
EDITS,credit,default,dAUC,30,-0.01300737372395816,0.01086248428822321,True,19,False,0.8610692326806363,4.444276930722545,85
EDITS,credit,default,negDP,30,0.20922419953234034,0.1891749779552092,True,5726,True,0.730599370160093,3.922397480640372,22460
EDITS,credit,default,negEO,30,0.23291161093257853,0.19708279010682528,True,6215,True,0.6626131681486442,3.650452672594577,22688
EDITS,german,default,dAUC,30,-0.02890666666666665,0.045369050410638205,False,330,True,0.9404129106501007,4.761651642600403,1572
EDITS,german,default,negDP,30,0.27597799885437485,0.18871782471950374,True,5699,True,0.9478438592916244,4.791375437166497,27307
EDITS,german,default,negEO,30,0.2211369597484384,0.16457413272245633,True,4334,True,0.9508320248311224,4.80332809932449,20818
FairEdit,bail,default,dAUC,30,-5.905497750561631e-06,2.9508297749961852e-05,False,1,False,0.09114185415404093,1.3645674166161637,2
FairEdit,bail,default,negDP,30,4.3966670641187405e-05,0.00030388836980599,False,1,False,0.025658945202840337,1.1026357808113614,2
FairEdit,bail,default,negEO,30,3.541451066885656e-05,0.0003351612216634288,False,1,False,0.025624490221571407,1.1024979608862857,2
FairEdit,credit,default,dAUC,30,-5.108243683660252e-07,1.552296816297805e-06,False,1,False,0.0,1.0,1
FairEdit,credit,default,negDP,30,0.0,0.0,False,0,False,0.0,1.0,0
FairEdit,credit,default,negEO,30,0.0,0.0,False,0,False,0.0,1.0,0
FairEdit,german,default,dAUC,30,0.00014476190476189754,0.000389705675764071,False,1,False,0.0,1.0,1
FairEdit,german,default,negDP,30,0.0005512484453886617,0.005275630903796293,False,5,False,0.0,1.0,5
FairEdit,german,default,negEO,30,6.249999999996536e-06,0.0068553222360711605,False,8,False,0.0,1.0,8
FairGB,bail,default,dAUC,30,0.019466089432959945,0.020045275558000782,True,65,True,0.4082775879767738,2.6331103519070953,172
FairGB,bail,default,negDP,30,-0.05967847882306418,0.0671222474484009,False,721,True,0.7201308862206675,3.88052354488267,2798
FairGB,bail,default,negEO,30,-0.0654411114118266,0.07067993027763139,True,800,True,0.501591969255778,3.006367877023112,2406
FairGB,credit,default,dAUC,30,-0.007588469706756196,0.00677363236262141,False,8,False,0.05420706127017541,1.2168282450807015,10
FairGB,credit,default,negDP,30,0.013940207380883534,0.07226046467671182,False,836,True,0.0,1.0,836
FairGB,credit,default,negEO,30,0.007903880457788002,0.06639825215657823,False,706,True,0.059266661630472055,1.2370666465218882,874
FairGB,german,default,dAUC,30,0.03194920634920633,0.05387722235311972,True,465,True,0.0,1.0,465
FairGB,german,default,negDP,30,-0.027261487455429348,0.14810543409330557,False,3510,True,0.0,1.0,3510
FairGB,german,default,negEO,30,-0.016467232365759532,0.1344288644016124,False,2892,True,0.0,1.0,2892
FairGNN,bail,default,dAUC,30,9.175842509176283e-05,0.0002112875098731091,False,1,False,0.0,1.0,1
FairGNN,bail,default,negDP,30,-5.56999503948663e-06,0.0005440896836700688,False,1,False,0.0,1.0,1
FairGNN,bail,default,negEO,30,2.6215496747943796e-05,0.0009760653714722311,False,1,False,0.0,1.0,1
FairGNN,credit,default,dAUC,30,0.004942836345253572,0.01741459083356805,False,49,True,0.1652261612411968,1.6609046449647873,82
