method,dataset,backbone,split_id,run_id,seed,selector,provenance,n_flip,n_flip_a1,n_flip_a0,n_test_a1,n_test_a0,dp_min_step,protocol,method_epochs,b_epochs,eval_rng_seed,rng_contract,feature_normalize,m1_epoch,m0_epoch,code_epoch,m1_auc,m1_dp,m1_eo,m0_auc,m0_dp,m0_eo,b_auc,b_dp,b_eo,bc_epoch,bc_auc,bc_dp,bc_eo,m1pub_auc,m1pub_dp,m1pub_eo,int_dauc,int_ndp,int_neo,pkg_dauc,pkg_ndp,pkg_neo,eo_defined
NIFTY,german,GCN,20,0,27,common_bce,official-repo,26,15,11,94,156,0.00641025641025641,armA,200,200,-1,deterministic-inference,0,200,200,200,0.4761142857142857,0.009547190398254218,0.0052521008403361436,0.4805333333333333,0.07951445717403166,0.09978991596638653,0.3965714285714286,0.023049645390070927,0.03361344537815136,91,0.396647619047619,0.023049645390070927,0.03361344537815136,0.4761142857142857,0.009547190398254218,0.0052521008403361436,-0.0044190476190476,0.06996726677577744,0.09453781512605039,0.07954285714285714,0.01350245499181671,0.02836134453781522,True
NIFTY,german,GCN,20,0,27,common_auc,official-repo,0,0,0,94,156,0.00641025641025641,armA,200,200,-1,deterministic-inference,0,96,91,200,0.5571047619047619,0.0,0.0,0.5570285714285714,0.0,0.0,0.3965714285714286,0.023049645390070927,0.03361344537815136,0,0.5604571428571429,0.0,0.0,0.4761142857142857,0.009547190398254218,0.0052521008403361436,7.619047619045194e-05,-0.0,-0.0,0.07954285714285714,0.01350245499181671,0.02836134453781522,True
NIFTY,german,GCN,20,1,28,common_bce,official-repo,81,24,57,94,156,0.00641025641025641,armA,200,200,-1,deterministic-inference,0,200,200,200,0.5835428571428571,0.028914348063284245,0.007352941176470618,0.7369523809523809,0.2873704309874523,0.2647058823529412,0.5373714285714286,0.14539007092198575,0.0934873949579832,200,0.5373714285714286,0.14539007092198575,0.0934873949579832,0.5835428571428571,0.028914348063284245,0.007352941176470618,-0.15340952380952377,0.25845608292416805,0.25735294117647056,0.04617142857142853,0.1164757228587015,0.08613445378151258,True
NIFTY,german,GCN,20,1,28,common_auc,official-repo,106,23,83,94,156,0.00641025641025641,armA,200,200,-1,deterministic-inference,0,57,200,200,0.5708190476190477,0.0,0.0,0.7369142857142857,0.2873704309874523,0.2647058823529412,0.5373714285714286,0.14539007092198575,0.0934873949579832,12,0.5536,0.0,0.0,0.5835428571428571,0.028914348063284245,0.007352941176470618,-0.16609523809523807,0.2873704309874523,0.2647058823529412,0.04617142857142853,0.1164757228587015,0.08613445378151258,True
NIFTY,german,GCN,20,2,29,common_bce,official-repo,79,23,56,94,156,0.00641025641025641,armA,200,200,-1,deterministic-inference,0,199,108,200,0.38712380952380954,0.24277141298417898,0.21323529411764708,0.3398857142857143,0.12847790507364976,0.12079831932773111,0.47645714285714286,0.24045280960174575,0.21953781512605042,200,0.47641904761904763,0.24045280960174575,0.21953781512605042,0.3879619047619048,0.24277141298417898,0.21323529411764708,0.047238095238095246,-0.11429350791052922,-0.09243697478991597,-0.08849523809523807,-0.0023186033824332264,0.006302521008403339,True
NIFTY,german,GCN,20,2,29,common_auc,official-repo,0,0,0,94,156,0.00641025641025641,armA,200,200,-1,deterministic-inference,0,3,7,200,0.5602285714285714,0.0,0.0,0.5602285714285714,0.0,0.0,0.47645714285714286,0.24045280960174575,0.21953781512605042,18,0.553752380952381,0.0,0.0,0.3879619047619048,0.24277141298417898,0.21323529411764708,0.0,-0.0,-0.0,-0.08849523809523807,-0.0023186033824332264,0.006302521008403339,True
NIFTY,german,GCN,20,3,30,common_bce,official-repo,84,32,52,94,156,0.00641025641025641,armA,200,200,-1,deterministic-inference,0,200,200,194,0.4022857142857143,0.026050190943808005,0.034663865546218475,0.5416380952380953,0.024686306601200192,0.018907563025210128,0.4076190476190476,0.11429350791052917,0.08823529411764705,200,0.4076952380952381,0.11429350791052917,0.08823529411764705,0.4022857142857143,0.026050190943808005,0.034663865546218475,-0.13935238095238095,-0.0013638843426078129,-0.015756302521008347,-0.005333333333333301,0.08824331696672116,0.053571428571428575,True
NIFTY,german,GCN,20,3,30,common_auc,official-repo,0,0,0,94,156,0.00641025641025641,armA,200,200,-1,deterministic-inference,0,25,27,194,0.5506285714285715,0.0,0.0,0.553752380952381,0.0,0.0,0.4076190476190476,0.11429350791052917,0.08823529411764705,56,0.5541333333333334,0.0,0.0,0.4022857142857143,0.026050190943808005,0.034663865546218475,-0.0031238095238095287,-0.0,-0.0,-0.005333333333333301,0.08824331696672116,0.053571428571428575,True
NIFTY,german,GCN,20,4,31,common_bce,official-repo,10,5,5,94,156,0.00641025641025641,armA,200,200,-1,deterministic-inference,0,200,196,200,0.5328761904761905,0.10092744135297327,0.13340336134453779,0.5524571428571429,0.07105837424986361,0.08088235294117652,0.4587428571428571,0.15139116202945985,0.16176470588235298,200,0.4587428571428571,0.15139116202945985,0.16176470588235298,0.5328761904761905,0.10092744135297327,0.13340336134453779,-0.019580952380952366,-0.02986906710310966,-0.05252100840336127,0.07413333333333338,0.05046372067648658,0.028361344537815192,True
NIFTY,german,GCN,20,4,31,common_auc,official-repo,166,57,109,94,156,0.00641025641025641,armA,200,200,-1,deterministic-inference,0,62,198,200,0.5607619047619048,0.0,0.0,0.5533714285714286,0.09233496999454438,0.09873949579831942,0.4587428571428571,0.15139116202945985,0.16176470588235298,0,0.5504,0.0,0.0,0.5328761904761905,0.10092744135297327,0.13340336134453779,0.0073904761904761695,0.09233496999454438,0.09873949579831942,0.07413333333333338,0.05046372067648658,0.028361344537815192,True
NIFTY,german,GCN,21,0,27,common_bce,official-repo,14,2,12,74,176,0.005681818181818182,armA,200,200,-1,deterministic-inference,0,196,200,196,0.43702857142857143,0.02472358722358725,0.020000000000000018,0.44053333333333333,0.0658783783783784,0.03600000000000003,0.3747809523809524,0.010135135135135087,0.06399999999999995,91,0.3748190476190476,0.010135135135135087,0.06399999999999995,0.43885714285714283,0.04652948402948401,0.036000000000000004,-0.0035047619047618994,0.04115479115479115,0.016000000000000014,0.06407619047619045,-0.03639434889434892,0.02799999999999994,True
NIFTY,german,GCN,21,0,27,common_auc,official-repo,0,0,0,74,176,0.005681818181818182,armA,200,200,-1,deterministic-inference,0,100,90,196,0.5523809523809524,0.0,0.0,0.5491047619047619,0.0,0.0,0.3747809523809524,0.010135135135135087,0.06399999999999995,0,0.5644190476190476,0.0,0.0,0.43885714285714283,0.04652948402948401,0.036000000000000004,0.0032761904761905436,-0.0,-0.0,0.06407619047619045,-0.03639434889434892,0.02799999999999994,True
NIFTY,german,GCN,21,1,28,common_bce,official-repo,54,15,39,74,176,0.005681818181818182,armA,200,200,-1,deterministic-inference,0,200,200,200,0.5133714285714286,0.02165233415233414,0.02799999999999997,0.6282666666666666,0.06787469287469289,0.08800000000000002,0.4841142857142857,0.13605651105651106,0.14,76,0.4841142857142857,0.13605651105651106,0.14,0.5133333333333333,0.02165233415233414,0.02799999999999997,-0.11489523809523805,0.04622235872235875,0.06000000000000005,0.02921904761904759,0.11440417690417692,0.11200000000000004,True
NIFTY,german,GCN,21,1,28,common_auc,official-repo,66,16,50,74,176,0.005681818181818182,armA,200,200,-1,deterministic-inference,0,51,200,200,0.5613714285714285,0.0,0.0,0.6282666666666666,0.06787469287469289,0.08800000000000002,0.4841142857142857,0.13605651105651106,0.14,13,0.5620571428571428,0.0,0.0,0.5133333333333333,0.02165233415233414,0.02799999999999997,-0.06689523809523812,0.06787469287469289,0.08800000000000002,0.02921904761904759,0.11440417690417692,0.11200000000000004,True
NIFTY,german,GCN,21,2,29,common_bce,official-repo,104,17,87,74,176,0.005681818181818182,armA,200,200,-1,deterministic-inference,0,199,109,199,0.46095238095238095,0.25015356265356264,0.284,0.38533333333333336,0.014434889434889464,0.03199999999999992,0.5047619047619047,0.417997542997543,0.504,200,0.5046857142857143,0.417997542997543,0.504,0.4620190476190476,0.2558353808353808,0.284,0.07561904761904759,-0.23571867321867318,-0.25200000000000006,-0.04274285714285714,0.16216216216216217,0.22000000000000003,True
NIFTY,german,GCN,21,2,29,common_auc,official-repo,0,0,0,74,176,0.005681818181818182,armA,200,200,-1,deterministic-inference,0,0,0,199,0.5648761904761905,0.0,0.0,0.5648761904761905,0.0,0.0,0.5047619047619047,0.417997542997543,0.504,19,0.5585523809523809,0.0,0.0,0.4620190476190476,0.2558353808353808,0.284,0.0,-0.0,-0.0,-0.04274285714285714,0.16216216216216217,0.22000000000000003,True
NIFTY,german,GCN,21,3,30,common_bce,official-repo,94,26,68,74,176,0.005681818181818182,armA,200,200,-1,deterministic-inference,0,200,200,183,0.3600761904761905,0.08323095823095822,0.08399999999999996,0.483352380952381,0.012592137592137592,0.04000000000000001,0.38994285714285715,0.13037469287469286,0.14400000000000002,200,0.38994285714285715,0.13037469287469286,0.14400000000000002,0.3600761904761905,0.08323095823095822,0.08399999999999996,-0.12327619047619048,-0.07063882063882063,-0.043999999999999956,-0.029866666666666652,0.04714373464373464,0.06000000000000005,True
NIFTY,german,GCN,21,3,30,common_auc,official-repo,0,0,0,74,176,0.005681818181818182,armA,200,200,-1,deterministic-inference,0,28,28,183,0.5581714285714285,0.0,0.0,0.5595428571428571,0.0,0.0,0.38994285714285715,0.13037469287469286,0.14400000000000002,57,0.5542095238095238,0.0,0.0,0.3600761904761905,0.08323095823095822,0.08399999999999996,-0.001371428571428579,-0.0,-0.0,-0.029866666666666652,0.04714373464373464,0.06000000000000005,True
NIFTY,german,GCN,21,4,31,common_bce,official-repo,10,1,9,74,176,0.005681818181818182,armA,200,200,-1,deterministic-inference,0,198,200,198,0.5603047619047619,0.07585995085995079,0.06000000000000005,0.5770666666666666,0.0496007371007372,0.05600000000000005,0.4035809523809524,0.017813267813267808,0.01200000000000001,200,0.4036190476190476,0.017813267813267808,0.01200000000000001,0.5590857142857143,0.07800982800982803,0.06400000000000006,-0.016761904761904756,-0.026259213759213584,-0.0040000000000000036,0.15550476190476192,-0.06019656019656022,-0.052000000000000046,True
NIFTY,german,GCN,21,4,31,common_auc,official-repo,6,2,4,74,176,0.005681818181818182,armA,200,200,-1,deterministic-inference,0,123,117,198,0.5545904761904762,0.035626535626535616,0.020000000000000018,0.5603809523809524,0.03132678132678135,0.02400000000000002,0.4035809523809524,0.017813267813267808,0.01200000000000001,0,0.5590095238095238,0.0,0.0,0.5590857142857143,0.07800982800982803,0.06400000000000006,-0.005790476190476235,-0.004299754299754266,0.0040000000000000036,0.15550476190476192,-0.06019656019656022,-0.052000000000000046,True
