arm,split_id,run_id,seed,hidden,lr,epochs,feature_normalize,bc_epoch,test_auc,test_auc_neg_score,test_dp,test_eo,val_auc_at_bc,val_auc_min,val_auc_max,val_auc_final,val_bce_at_bc,val_bce_final,n_val_epochs_auc_below_half,n_val_epochs
repro,20,0,27,16,0.001,200,False,91,0.396647619047619,0.603352380952381,0.023049645390070927,0.03361344537815136,0.3932952380952381,0.34994285714285717,0.5584,0.4931047619047619,0.7097109532975806,0.7261138326393431,163,201
repro_H1000,20,0,27,16,0.001,1000,False,790,0.7455238095238095,0.25447619047619047,0.4399890889252592,0.3088235294117647,0.7098666666666666,0.34994285714285717,0.718704761904762,0.7164190476190476,0.5710259660210788,0.5759925726930494,170,1001
probe,20,0,27,64,0.01,1000,False,525,0.753752380952381,0.24624761904761905,0.3566557555919258,0.24894957983193278,0.713447619047619,0.44106666666666666,0.7165714285714285,0.6512,0.8485226489232566,1.5546861423340943,39,1001
probe_norm,20,0,27,64,0.01,1000,True,0,0.415847619047619,0.584152380952381,0.0,0.0,0.44815238095238097,0.44815238095238097,0.6650666666666667,0.6635428571428571,0.6284475851281045,0.8896289967013442,1,1001
repro,20,1,28,16,0.001,200,False,200,0.5373714285714286,0.46262857142857144,0.14539007092198575,0.0934873949579832,0.4940952380952381,0.3984761904761905,0.5551238095238096,0.4940952380952381,0.712416619184098,0.712416619184098,159,201
repro_H1000,20,1,28,16,0.001,1000,False,994,0.7596190476190476,0.2403809523809524,0.43753409710856517,0.31932773109243706,0.7066666666666667,0.39855238095238094,0.7093333333333334,0.7062095238095238,0.5754702046882362,0.5755770659644709,167,1001
probe,20,1,28,64,0.01,1000,False,380,0.7557333333333334,0.24426666666666666,0.3992089470812875,0.2668067226890757,0.7163428571428572,0.43984761904761904,0.7163428571428572,0.6902857142857143,0.7958699628225532,1.8897820610816136,44,1001
probe_norm,20,1,28,64,0.01,1000,True,1,0.6394666666666666,0.3605333333333333,0.48445171849427165,0.41911764705882354,0.6059428571428571,0.6059428571428571,0.665752380952381,0.6637714285714286,0.6332692998831511,0.8932719215249962,0,1001
repro,20,2,29,16,0.001,200,False,200,0.4764952380952381,0.5235047619047619,0.24045280960174575,0.21953781512605042,0.5323428571428571,0.32777142857142855,0.5551238095238096,0.5323428571428571,0.7001127050600767,0.7001127050600767,151,201
repro_H1000,20,2,29,16,0.001,1000,False,801,0.7335238095238096,0.2664761904761905,0.3739770867430442,0.2909663865546218,0.6997333333333333,0.3277333333333333,0.7120761904761905,0.7030857142857143,0.576248939684127,0.7571533208658957,151,1001
probe,20,2,29,64,0.01,1000,False,34,0.7161904761904762,0.2838095238095238,0.11020185488270595,0.06722689075630262,0.6907428571428571,0.44,0.7075809523809524,0.637104761904762,0.5866120222208733,1.5532167064829852,48,1001
probe_norm,20,2,29,64,0.01,1000,True,2,0.6123428571428572,0.38765714285714287,0.30182760501909445,0.2279411764705883,0.5884952380952381,0.5884952380952381,0.6660571428571429,0.6636190476190477,0.6231847174635675,0.89342697620551,0,1001
repro,20,3,30,16,0.001,200,False,200,0.4076952380952381,0.5923047619047619,0.11429350791052917,0.08823529411764705,0.3954666666666667,0.3954666666666667,0.5523809523809524,0.3954666666666667,0.9751627997789828,0.9751627997789828,186,201
repro_H1000,20,3,30,16,0.001,1000,False,936,0.7325714285714285,0.2674285714285714,0.4143480632842335,0.28256302521008403,0.6872380952380952,0.3869714285714286,0.6986666666666667,0.6941714285714286,0.5852088408114257,0.5933149602518502,229,1001
probe,20,3,30,64,0.01,1000,False,657,0.7615238095238095,0.23847619047619048,0.3821603927986907,0.2668067226890757,0.7198476190476191,0.4359619047619048,0.723047619047619,0.6517333333333334,0.7588449353011661,1.417730302866027,43,1001
probe_norm,20,3,30,64,0.01,1000,True,0,0.5495619047619048,0.45043809523809525,0.012820512820512775,0.01680672268907568,0.6320761904761905,0.6307809523809523,0.6656,0.6633904761904762,0.5969317276776022,0.888550099685576,0,1001
repro,20,4,31,16,0.001,200,False,200,0.4587047619047619,0.541295238095238,0.15139116202945985,0.16176470588235298,0.4704,0.3956571428571429,0.5535238095238095,0.4704,0.7551618095214376,0.7551618095214376,182,201
repro_H1000,20,4,31,16,0.001,1000,False,948,0.7418666666666667,0.2581333333333333,0.4247135842880524,0.35609243697478987,0.6998095238095238,0.3956571428571429,0.7001142857142857,0.6998095238095238,0.5881605554932403,0.5882672625032084,210,1001
probe,20,4,31,64,0.01,1000,False,41,0.6746666666666666,0.3253333333333333,0.33974358974358976,0.2857142857142857,0.6559238095238096,0.4329142857142857,0.7165714285714285,0.6778666666666666,0.6105739354115715,3.831068268639474,48,1001
probe_norm,20,4,31,64,0.01,1000,True,1,0.652952380952381,0.34704761904761905,0.39320785597381347,0.3623949579831932,0.6135619047619048,0.6135619047619048,0.6650666666666667,0.6635428571428571,0.6287131563330498,0.8933946842292373,0,1001
repro,21,0,27,16,0.001,200,False,91,0.37470476190476193,0.6252952380952381,0.010135135135135087,0.06399999999999995,0.37798095238095236,0.34765714285714283,0.5558095238095239,0.47177142857142856,0.7187375024267324,0.7609557989666881,161,201
repro_H1000,21,0,27,16,0.001,1000,False,998,0.6823619047619047,0.3176380952380952,0.11133292383292381,0.08000000000000007,0.7142095238095238,0.34765714285714283,0.7220571428571428,0.7142857142857143,0.5678042541920877,0.5678159893442646,197,1001
probe,21,0,27,64,0.01,1000,False,232,0.6825142857142857,0.31748571428571426,0.09996928746928746,0.08000000000000007,0.6934095238095238,0.4439619047619048,0.7213714285714286,0.5958095238095238,0.9926731219892854,1.8178343007320001,52,1001
probe_norm,21,0,27,64,0.01,1000,True,3,0.6019047619047619,0.3980952380952381,0.28117321867321865,0.22399999999999998,0.680152380952381,0.496,0.7005714285714286,0.6840380952380952,0.6081260336949897,0.8283568842271898,1,1001
repro,21,1,28,16,0.001,200,False,76,0.4841142857142857,0.5158857142857143,0.13605651105651106,0.14,0.49028571428571427,0.40594285714285716,0.5497142857142857,0.4812952380952381,0.7381690606879183,0.7504846781580766,173,201
repro_H1000,21,1,28,16,0.001,1000,False,1000,0.6732190476190476,0.3267809523809524,0.16400491400491402,0.14800000000000002,0.7094095238095238,0.40594285714285716,0.7164190476190476,0.7094095238095238,0.5743906536420502,0.5743906536420502,191,1001
probe,21,1,28,64,0.01,1000,False,758,0.6885333333333333,0.31146666666666667,0.11133292383292381,0.09599999999999997,0.7101714285714286,0.44266666666666665,0.7234285714285714,0.7203047619047619,0.7004866104070551,1.1961233968450786,43,1001
probe_norm,21,1,28,64,0.01,1000,True,2,0.6232380952380953,0.37676190476190474,0.02226658476658472,0.0,0.6294857142857143,0.6294857142857143,0.6997333333333333,0.6841142857142857,0.610515652180231,0.8267872249666752,0,1001
repro,21,2,29,16,0.001,200,False,200,0.5047619047619047,0.49523809523809526,0.417997542997543,0.504,0.4922666666666667,0.3483428571428571,0.5533714285714286,0.4922666666666667,0.7214802419340909,0.7214802419340909,179,201
repro_H1000,21,2,29,16,0.001,1000,False,1000,0.688,0.312,0.0658783783783784,0.040000000000000036,0.7204571428571429,0.3483428571428571,0.731352380952381,0.7204571428571429,0.5682559339728548,0.5682559339728548,187,1001
probe,21,2,29,64,0.01,1000,False,64,0.6752761904761905,0.3247238095238095,0.014895577395577453,0.008000000000000007,0.6787809523809524,0.4444190476190476,0.7075047619047619,0.6950095238095239,0.7779281232631213,2.9233689685560647,58,1001
probe_norm,21,2,29,64,0.01,1000,True,3,0.5684571428571429,0.4315428571428571,0.014281326781326764,0.01200000000000001,0.545752380952381,0.5348571428571428,0.6991238095238095,0.6841904761904762,0.6234787367263678,0.8268474153276875,0,1001
repro,21,3,30,16,0.001,200,False,200,0.38994285714285715,0.6100571428571429,0.13037469287469286,0.14400000000000002,0.42064761904761905,0.4198857142857143,0.5531428571428572,0.42064761904761905,1.2485810213330029,1.2485810213330029,186,201
repro_H1000,21,3,30,16,0.001,1000,False,999,0.6950857142857143,0.3049142857142857,0.09996928746928746,0.03200000000000003,0.7323428571428572,0.4160761904761905,0.7388190476190476,0.7305904761904762,0.5662991407636289,0.7202142562519523,263,1001
probe,21,3,30,64,0.01,1000,False,689,0.683047619047619,0.31695238095238093,0.12208230958230959,0.09199999999999997,0.7140571428571428,0.37805714285714287,0.7241142857142857,0.6024380952380952,0.7333405565004566,4.254135373741771,72,1001
