method,backbone,dataset,configuration,n_units,tau_pkg_dAUC_mean,tau_pkg_dAUC_lo,tau_pkg_dAUC_hi,tau_nonint_dAUC_mean,tau_nonint_dAUC_lo,tau_nonint_dAUC_hi,tau_I_dAUC_mean,tau_I_dAUC_lo,tau_I_dAUC_hi,tau_I_dAUC_sign_stability,tau_I_dAUC_resolved,tau_pkg_negDP_mean,tau_pkg_negDP_lo,tau_pkg_negDP_hi,tau_nonint_negDP_mean,tau_nonint_negDP_lo,tau_nonint_negDP_hi,tau_I_negDP_mean,tau_I_negDP_lo,tau_I_negDP_hi,tau_I_negDP_sign_stability,tau_I_negDP_resolved,tau_pkg_negEO_mean,tau_pkg_negEO_lo,tau_pkg_negEO_hi,tau_nonint_negEO_mean,tau_nonint_negEO_lo,tau_nonint_negEO_hi,tau_I_negEO_mean,tau_I_negEO_lo,tau_I_negEO_hi,tau_I_negEO_sign_stability,tau_I_negEO_resolved,nonint_larger_negDP,nonint_larger_negEO,caveat
BIND,GCN,bail,1pct,30,0.10564709395940282,0.0575155511972217,0.15453966413852688,0.10490348592731367,0.05678681939138427,0.15361559954449858,0.0007436080320891528,-0.0017406709716852676,0.003803196274128358,0.6333333333333333,False,-0.04002118451322827,-0.055636361250182516,-0.023417395284579458,-0.040572492113581826,-0.05711858166654308,-0.022573704603697474,0.0005513076003535531,-0.002150186124113708,0.0030923247867115423,0.6333333333333333,False,-0.021569147629462233,-0.037818920665776794,-0.003525984820442691,-0.02089705897021762,-0.03807638945728003,-0.002737344029698054,-0.0006720886592446126,-0.006770891044431968,0.00624342972207324,0.5333333333333333,False,True,True,the published 1% / 10% budgets are applied as fractions of the training set; on bail (|train| = 100) that is 1 and 10 deleted nodes; no native cell: the published influence estimator reads test labels; the controlled cells use the same estimator with its fairness cost on validation nodes
BIND,GCN,income,1pct,30,0.12565332637813162,0.11331244645788768,0.1359356106542709,0.1260522352236639,0.11396585023122756,0.13605179105023973,-0.00039890884553231973,-0.0016035321957631867,0.0006843389777140416,0.5,False,-0.027671802908838077,-0.05703367200151379,0.008466477345386605,-0.070010184899557,-0.09907188412444806,-0.03420199361022988,0.04233838199071894,0.035540510733260734,0.048781209761123455,1.0,True,-0.040607487849993795,-0.07668678257439836,-0.0006236952009338578,-0.09487715035572712,-0.1374822935821276,-0.04943052091403949,0.05426966250573333,0.03591469904803848,0.07041229365763467,0.9666666666666667,True,True,True,the published 1% / 10% budgets are applied as fractions of the training set; on income (|train| = 4605) that is 46 and 461 deleted nodes; no native cell: the published influence estimator reads test labels; the controlled cells use the same estimator with its fairness cost on validation nodes
BeMap,GCN,bail,default,30,-0.02850826744175368,-0.10730453472075542,0.04302299193306455,0.11075651977155546,0.06377323830902763,0.15903899862209303,-0.13926478721330915,-0.20755379423766274,-0.0914483663709581,1.0,True,0.0020373567677433933,-0.022593052925365533,0.024536097634774334,-0.057615827234166334,-0.07207560985553665,-0.043582594141358795,0.059653184001909734,0.041908943965722735,0.074071556131283,1.0,True,-0.00776878411356825,-0.02329558805535516,0.007321317497845994,-0.03207150156322622,-0.04798217761736412,-0.01630945301695485,0.024302717449657976,0.015530477798005505,0.03631378455986772,1.0,True,False,True,no native cell: the official training loop selects on the test split
BeMap,GCN,credit,default,30,-0.005311974889318801,-0.015754926221653674,0.003080280701946294,0.03046831036532817,0.023783090454405603,0.03739438848079698,-0.035780285254646965,-0.04396534631123059,-0.030817114444644314,1.0,True,0.05231807163687965,0.018017671257480626,0.0842041454282607,0.029820687944359145,-0.0008217179343646354,0.05803401381366188,0.0224973836925205,-0.019565803307296438,0.06667254946249536,0.7,False,0.04219230884169152,0.0034997107277396425,0.07759358565399932,0.025972769339326858,-0.007777778716646846,0.0576349864231934,0.01621953950236466,-0.029282037753941902,0.063426693881549,0.7,False,True,True,no native cell: the official training loop selects on the test split
BeMap,GCN,pokec_z,default,30,0.038056336747098456,0.027964118900661236,0.04716864032447438,0.05313282569317581,0.04650183482832365,0.0601862776934257,-0.01507648894607736,-0.023918062716253637,-0.00742793022503243,0.9666666666666667,True,-0.09102225449039043,-0.15156595041199372,-0.03217401422013681,-0.024244404967868317,-0.05506884821557531,0.005405481646392879,-0.06677784952252212,-0.1438367754066933,0.007416828385447914,0.7,False,-0.055159368649084335,-0.09438093279763461,-0.019072165895083516,-0.015429458659064928,-0.0443936829491279,0.009893373685510494,-0.0397299099900194,-0.09708578505673592,0.013763942637296744,0.5333333333333333,False,False,False,no native cell: the official training loop selects on the test split
EDITS,GCN,bail,default,30,0.09189436633371394,0.0111882071929218,0.16395379515601222,0.13045786931171743,0.08395942188046862,0.1781147049189862,-0.03856350297800349,-0.09884804497412804,0.010347566443864831,0.5,False,-0.028256802565309314,-0.04377917619812191,-0.010287661621002005,-0.035558972817273354,-0.046044659693722144,-0.024717383493285037,0.007302170251964043,-0.0032920629248429406,0.019948707015116973,0.6,False,-0.003941051706994047,-0.013282173716203929,0.005166196299014953,-0.00901377994930151,-0.018745464884719492,0.0001630602770765893,0.005072728242307465,-0.0010116772913302606,0.01166504290361018,0.6666666666666666,False,True,True,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
EDITS,GCN,credit,default,30,0.0019752735550489916,-0.009117035177429953,0.013679623365581305,0.01498264727900715,0.008298333006371334,0.021819601935725096,-0.01300737372395816,-0.020472563150189565,-0.0043690518415184275,0.8,True,-0.05885788850351715,-0.19170538231663384,0.0728467669393435,-0.2680820880358575,-0.2998370128906232,-0.23687756042508165,0.20922419953234034,0.07555197685846207,0.3396007745643521,0.8666666666666667,True,-0.09878363268665907,-0.2348869042268702,0.03340855226874024,-0.33169524361923763,-0.3656429415154365,-0.29773468531934105,0.23291161093257853,0.09730465057100603,0.3628585679359377,0.9,True,True,True,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
EDITS,GCN,german,default,30,0.17259174603174604,0.13069885714285712,0.21019447619047618,0.20149841269841273,0.16087358730158738,0.2417143492063493,-0.02890666666666665,-0.06377428571428571,0.006294349206349216,0.8333333333333334,False,0.03521160776519529,-0.0184455198978739,0.09309912352057978,-0.24076639108917966,-0.3643324185953283,-0.08971943892825357,0.27597799885437485,0.11787445476602916,0.3992037523747005,0.8666666666666667,True,0.019598376188536885,-0.0453309626816152,0.09248200092182264,-0.20153858355990154,-0.3370263146348965,-0.03941221753580277,0.2211369597484384,0.08744079142768219,0.33807121005982177,0.8666666666666667,True,False,False,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
FairEdit,GCN,bail,default,30,0.12013519316972426,0.07339753967780213,0.16732055091215067,0.12014109866747481,0.07341141536541636,0.16732172515596636,-5.905497750561631e-06,-2.2146892050073916e-05,7.621344586153281e-06,0.6333333333333333,False,-0.040216134374498363,-0.055019029989055404,-0.024920937098463464,-0.04026010104513955,-0.05502863363845651,-0.025016852896881936,4.3966670641187405e-05,-9.876384778741604e-05,0.000191049577193594,0.7,False,-0.013258263607516066,-0.023367338288191562,-0.0032276603059348823,-0.013293678118184925,-0.02340142590971115,-0.0033014243777476793,3.541451066885656e-05,-0.00010491383910857718,0.00020829003513407954,0.6666666666666666,False,True,True,"the repository default removes 20 of ~44k edges, so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
FairEdit,GCN,credit,default,30,-0.021017491967931793,-0.06669117144480084,0.007000947381409361,-0.021016981143563426,-0.06669086697111799,0.0070016645994619145,-5.108243683660252e-07,-1.1592445261797887e-06,7.05178420750315e-08,0.5666666666666667,False,0.0741219472503186,0.046974563444816916,0.10368222921738043,0.0741219472503186,0.046974563444816916,0.10368222921738043,0.0,0.0,0.0,0.0,False,0.0707779887330742,0.04298534174354246,0.09990874415514074,0.0707779887330742,0.04298534174354246,0.09990874415514074,0.0,0.0,0.0,0.0,False,True,True,"the repository default removes 20 of ~44k edges, so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
