method,backbone,dataset,configuration,configuration_role,protocol,native_evaluation_role,units_done,units_required,status
BIND,GCN,bail,10pct,robustness,controlled,,30,30,complete
BIND,GCN,income,10pct,robustness,controlled,,30,30,complete
BIND,GCN,bail,1pct,primary,controlled,,30,30,complete
BIND,GCN,income,1pct,primary,controlled,,30,30,complete
BeMap,GCN,bail,default,primary,controlled,,30,30,complete
BeMap,GCN,credit,default,primary,controlled,,30,30,complete
BeMap,GCN,pokec_z,default,primary,controlled,,30,30,complete
BeMap,GAT,bail,GAT,robustness,controlled,,30,30,complete
BeMap,GAT,credit,GAT,robustness,controlled,,30,30,complete
BeMap,GAT,pokec_z,GAT,robustness,controlled,,30,30,complete
EDITS,GCN,bail,default,primary,controlled,,30,30,complete
EDITS,GCN,credit,default,primary,controlled,,30,30,complete
EDITS,GCN,german,default,primary,controlled,,30,30,complete
FairEdit,GCN,bail,default,primary,controlled,,30,30,complete
FairEdit,GCN,credit,default,primary,controlled,,30,30,complete
FairEdit,GCN,german,default,primary,controlled,,30,30,complete
FairGB,SAGE,bail,default,primary,controlled,,30,30,complete
FairGB,SAGE,bail,default,primary,native,targeted,30,30,complete
FairGB,SAGE,credit,default,primary,controlled,,30,30,complete
FairGB,SAGE,credit,default,primary,native,targeted,30,30,complete
FairGB,SAGE,german,default,primary,controlled,,30,30,complete
FairGB,SAGE,german,default,primary,native,targeted,30,30,complete
FairGNN,GCN,bail,default,primary,controlled,,30,30,complete
FairGNN,GCN,credit,default,primary,controlled,,30,30,complete
FairGNN,GCN,german,default,primary,controlled,,30,30,complete
FairGNN,GCN,pokec_n,default,primary,controlled,,30,30,complete
FairGNN,GCN,pokec_n_g,default,primary,controlled,,30,30,complete
FairGNN,GCN,pokec_z,default,primary,controlled,,30,30,complete
FairGNN,GCN,pokec_z_g,default,primary,controlled,,30,30,complete
FairGNN,GAT,pokec_n,upstreamGAT,robustness,controlled,,30,30,complete
FairGNN,GAT,pokec_z,upstreamGAT,robustness,controlled,,30,30,complete
FairGNN,GCN,pokec_n,upstreamGCN,robustness,controlled,,30,30,complete
FairGNN,GCN,pokec_z,upstreamGCN,robustness,controlled,,30,30,complete
FairSIN,GCN,bail,GCN,primary,controlled,,30,30,complete
FairSIN,GCN,bail,GCN,primary,native,systematic,30,30,complete
FairSIN,GCN,credit,GCN,primary,controlled,,30,30,complete
FairSIN,GCN,credit,GCN,primary,native,systematic,30,30,complete
FairSIN,GCN,german,GCN,primary,controlled,,30,30,complete
FairSIN,GCN,german,GCN,primary,native,systematic,30,30,complete
FairSIN,GCN,pokec_n,GCN,primary,controlled,,30,30,complete
FairSIN,GCN,pokec_n,GCN,primary,native,systematic,30,30,complete
FairSIN,GCN,pokec_z,GCN,primary,controlled,,30,30,complete
FairSIN,GCN,pokec_z,GCN,primary,native,systematic,30,30,complete
FairSIN,GIN,bail,GIN,robustness,controlled,,30,30,complete
FairSIN,GIN,bail,GIN,robustness,native,systematic,30,30,complete
FairSIN,GIN,credit,GIN,robustness,controlled,,30,30,complete
FairSIN,GIN,credit,GIN,robustness,native,systematic,30,30,complete
FairSIN,GIN,german,GIN,robustness,controlled,,30,30,complete
FairSIN,GIN,german,GIN,robustness,native,systematic,30,30,complete
FairSIN,GIN,pokec_n,GIN,robustness,controlled,,30,30,complete
FairSIN,GIN,pokec_n,GIN,robustness,native,systematic,30,30,complete
FairSIN,GIN,pokec_z,GIN,robustness,controlled,,30,30,complete
FairSIN,GIN,pokec_z,GIN,robustness,native,systematic,30,30,complete
FairSIN,SAGE,bail,SAGE,robustness,controlled,,30,30,complete
FairSIN,SAGE,bail,SAGE,robustness,native,systematic,30,30,complete
FairSIN,SAGE,credit,SAGE,robustness,controlled,,30,30,complete
