method,backbone,dataset,configuration,n_units,tau_pkg_dAUC_mean,tau_pkg_dAUC_lo,tau_pkg_dAUC_hi,tau_nonint_dAUC_mean,tau_nonint_dAUC_lo,tau_nonint_dAUC_hi,tau_I_dAUC_mean,tau_I_dAUC_lo,tau_I_dAUC_hi,tau_I_dAUC_sign_stability,tau_I_dAUC_resolved,tau_pkg_negDP_mean,tau_pkg_negDP_lo,tau_pkg_negDP_hi,tau_nonint_negDP_mean,tau_nonint_negDP_lo,tau_nonint_negDP_hi,tau_I_negDP_mean,tau_I_negDP_lo,tau_I_negDP_hi,tau_I_negDP_sign_stability,tau_I_negDP_resolved,tau_pkg_negEO_mean,tau_pkg_negEO_lo,tau_pkg_negEO_hi,tau_nonint_negEO_mean,tau_nonint_negEO_lo,tau_nonint_negEO_hi,tau_I_negEO_mean,tau_I_negEO_lo,tau_I_negEO_hi,tau_I_negEO_sign_stability,tau_I_negEO_resolved,nonint_larger_dAUC,nonint_larger_negDP,nonint_larger_negEO,caveat
BIND,GCN,bail,1pct,30,0.10564714179010813,0.05751562206638342,0.15453972950715744,0.10490353375801899,0.05678667685588241,0.15361540479381008,0.0007436080320891528,-0.0017406709716852676,0.003803196274128358,0.6333333333333333,False,-0.04002118451322827,-0.055636361250182516,-0.023417395284579458,-0.040572492113581826,-0.05711858166654308,-0.022573704603697474,0.0005513076003535531,-0.002150186124113708,0.0030923247867115423,0.6333333333333333,False,-0.021569147629462233,-0.037818920665776794,-0.003525984820442691,-0.02089705897021762,-0.03807638945728003,-0.002737344029698054,-0.0006720886592446126,-0.006770891044431968,0.00624342972207324,0.5333333333333333,False,True,True,True,the published 1% / 10% budgets are applied as fractions of the training set; on bail (|train| = 100) that is 1 and 10 deleted nodes; no native cell: the published influence estimator reads test labels; the controlled cells use the same estimator with its fairness cost on validation nodes
BIND,GCN,income,1pct,30,0.12646274798818932,0.11651515920104982,0.13551596686384038,0.12686165683372164,0.11742072836004955,0.1356816537393433,-0.00039890884553231973,-0.0016035321957631867,0.0006843389777140416,0.5,False,-0.022670817963689957,-0.05041309244210389,0.014400676672337081,-0.06500919995440889,-0.09101439927202509,-0.03004522930730013,0.04233838199071894,0.035540510733260734,0.048781209761123455,1.0,True,-0.039464385077264255,-0.08408672061578881,0.008465921886938526,-0.09373404758299758,-0.13583693177495126,-0.04969512606312919,0.05426966250573333,0.03591469904803848,0.07041229365763467,0.9666666666666667,True,True,True,True,the published 1% / 10% budgets are applied as fractions of the training set; on income (|train| = 4605) that is 46 and 461 deleted nodes; no native cell: the published influence estimator reads test labels; the controlled cells use the same estimator with its fairness cost on validation nodes
BeMap,GCN,bail,default,30,-0.02850819410133885,-0.10730453408301266,0.0430231390124834,0.11075659311197027,0.06377314806843029,0.15903904230747054,-0.13926478721330915,-0.20755379423766274,-0.0914483663709581,1.0,True,0.0020373567677433933,-0.022593052925365533,0.024536097634774334,-0.057615827234166334,-0.07207560985553665,-0.043582594141358795,0.059653184001909734,0.041908943965722735,0.074071556131283,1.0,True,-0.00776878411356825,-0.02329558805535516,0.007321317497845994,-0.03207150156322622,-0.04798217761736412,-0.01630945301695485,0.024302717449657976,0.015530477798005505,0.03631378455986772,1.0,True,False,False,True,no native cell: the official training loop selects on the test split
BeMap,GCN,credit,default,30,-0.006450760641563761,-0.017616888870107067,0.002504059978761391,0.02932952461308321,0.022334644861999497,0.03612016001220749,-0.035780285254646965,-0.04396534631123059,-0.030817114444644314,1.0,True,0.05196338518423558,0.019647276343624554,0.08353937027785885,0.029466001491715074,-0.0015782593760118883,0.05690880695562199,0.0224973836925205,-0.019565803307296438,0.06667254946249536,0.7,False,0.04208116752624429,0.005578052757197959,0.07682204951286481,0.025861628023879642,-0.007676878845065479,0.05587678288474291,0.01621953950236466,-0.029282037753941902,0.063426693881549,0.7,False,False,True,True,no native cell: the official training loop selects on the test split
BeMap,GCN,pokec_z,default,30,0.038056275853508556,0.027964058474204943,0.04716858932582954,0.05313276479958592,0.04650175244577225,0.06018625542154001,-0.01507648894607736,-0.023918062716253637,-0.00742793022503243,0.9666666666666667,True,-0.09102225449039043,-0.15156595041199372,-0.03217401422013681,-0.024244404967868317,-0.05506884821557531,0.005405481646392879,-0.06677784952252212,-0.1438367754066933,0.007416828385447914,0.7,False,-0.055159368649084335,-0.09438093279763461,-0.019072165895083516,-0.015429458659064928,-0.0443936829491279,0.009893373685510494,-0.0397299099900194,-0.09708578505673592,0.013763942637296744,0.5333333333333333,False,True,False,False,no native cell: the official training loop selects on the test split
EDITS,GCN,bail,default,30,0.0918943727111413,0.011188302615178902,0.16395378566958896,0.13045787568914483,0.08395962970488327,0.1781146823588369,-0.03856350297800349,-0.09884804497412804,0.010347566443864831,0.5,False,-0.028256802565309314,-0.04377917619812191,-0.010287661621002005,-0.035558972817273354,-0.046044659693722144,-0.024717383493285037,0.007302170251964043,-0.0032920629248429406,0.019948707015116973,0.6,False,-0.003941051706994047,-0.013282173716203929,0.005166196299014953,-0.00901377994930151,-0.018745464884719492,0.0001630602770765893,0.005072728242307465,-0.0010116772913302606,0.01166504290361018,0.6666666666666666,False,True,True,True,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
EDITS,GCN,credit,default,30,-0.0017932532450161095,-0.012916648005237744,0.01071314366923319,0.01121412047894205,0.005116129771336095,0.01799757956966711,-0.01300737372395816,-0.020472563150189565,-0.0043690518415184275,0.8,True,-0.0570582381248949,-0.19392316565744258,0.0747242569433299,-0.2662824376572352,-0.29853298286332,-0.23365346294238698,0.20922419953234034,0.07555197685846207,0.3396007745643521,0.8666666666666667,True,-0.09377890710668309,-0.2336964674551781,0.036944194954665895,-0.3266905180392616,-0.36154491136237776,-0.29171219113710156,0.23291161093257853,0.09730465057100603,0.3628585679359377,0.9,True,False,True,True,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
EDITS,GCN,german,default,30,-0.04020825396825396,-0.07159336507936508,-0.005770730158730158,-0.011301587301587309,-0.03464126984126984,0.016118126984126985,-0.02890666666666665,-0.06377428571428571,0.006294349206349216,0.8333333333333334,False,0.2353272012090533,0.07738039399969857,0.3865751881107758,-0.04065079764532158,-0.12162059150767804,0.032095348083323746,0.27597799885437485,0.11787445476602916,0.3992037523747005,0.8666666666666667,True,0.16079556867664324,0.02922274644491366,0.27891313034522325,-0.06034139107179516,-0.14069887842164053,0.020133333333333288,0.2211369597484384,0.08744079142768219,0.33807121005982177,0.8666666666666667,True,False,False,False,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
FairEdit,GCN,bail,default,30,0.12013515171644631,0.07339770014981856,0.16732058877812567,0.12014105721419686,0.07341157583743275,0.16732176302194143,-5.905497750561631e-06,-2.2146892050073916e-05,7.621344586153281e-06,0.6333333333333333,False,-0.040216134374498363,-0.055019029989055404,-0.024920937098463464,-0.04026010104513955,-0.05502863363845651,-0.025016852896881936,4.3966670641187405e-05,-9.876384778741604e-05,0.000191049577193594,0.7,False,-0.013258263607516066,-0.023367338288191562,-0.0032276603059348823,-0.013293678118184925,-0.02340142590971115,-0.0033014243777476793,3.541451066885656e-05,-0.00010491383910857718,0.00020829003513407954,0.6666666666666666,False,True,True,True,"the repository default deletes 10 undirected edges per run (20 of 642,616 directed entries); the edge-addition branch is disabled (add=False), so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
FairEdit,GCN,credit,default,30,-0.019400416371738692,-0.06516694651930294,0.00843886551996398,-0.019399905547370328,-0.06516636221018327,0.008439657340733648,-5.108243683660252e-07,-1.1592445261797887e-06,7.05178420750315e-08,0.5666666666666667,False,0.07668029531546282,0.04810451789841681,0.10669590057979594,0.07668029531546282,0.04810451789841681,0.10669590057979594,0.0,0.0,0.0,0.0,False,0.07389947480614834,0.0452947023891648,0.1038319963081182,0.07389947480614834,0.0452947023891648,0.1038319963081182,0.0,0.0,0.0,0.0,False,True,True,True,"the repository default deletes 10 undirected edges per run (20 of 2,873,716 directed entries); the edge-addition branch is disabled (add=False), so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
