analysis,method,dataset,coordinate,term,mean,lo,hi,resolved,note
selection-support decomposition,NIFTY,german,negDP,D0.bce.c200,-0.011318495282452,-0.0472173379762163,0.0286990925278758,False,
selection-support decomposition,NIFTY,german,negEO,D0.bce.c200,0.0038058413377171,-0.034585892801565,0.0444445619041055,False,
selection-support decomposition,NIFTY,german,dAUC,D0.bce.c200,-0.0280736507936507,-0.0555244126984127,-0.0024047301587301,False,
selection-support decomposition,NIFTY,german,negDP,D0.bce.c1000,-0.0429072016996256,-0.1172188170531265,0.0316533319886302,False,
selection-support decomposition,NIFTY,german,negEO,D0.bce.c1000,-0.0262824543410745,-0.105606951108901,0.048612568441827,False,
selection-support decomposition,NIFTY,german,dAUC,D0.bce.c1000,0.0145536507936508,-0.0041717142857142,0.0322706666666666,False,
selection-support decomposition,NIFTY,german,negDP,D0.bce.S,-0.0315887064171736,-0.1254900027553973,0.0572173861071977,False,
selection-support decomposition,NIFTY,german,negDP,D0.bce.h200,-0.0064518468813407,-0.0414974891038367,0.0322915218391373,False,
selection-support decomposition,NIFTY,german,negDP,D0.bce.T,-0.0048666484011112,-0.020431733098053,0.0066024665183695,False,
selection-support decomposition,NIFTY,german,negDP,D0.bce.H,-0.0364553548182849,-0.1287587520180071,0.0499845423946587,False,
selection-support decomposition,NIFTY,german,negDP,D0.bce.frz,-0.0608036695488047,-0.1274780499580839,0.004883167814297,False,
selection-support decomposition,NIFTY,german,negEO,D0.bce.S,-0.0300882956787916,-0.1279071378415432,0.0602061904761904,False,
selection-support decomposition,NIFTY,german,negEO,D0.bce.h200,0.0042446404684805,-0.0351073277143303,0.0452945119084867,False,
selection-support decomposition,NIFTY,german,negEO,D0.bce.T,-0.0004387991307634,-0.0097648631188586,0.0077247845804988,False,
selection-support decomposition,NIFTY,german,negEO,D0.bce.H,-0.030527094809555,-0.1285196084253736,0.0595477971188475,False,
selection-support decomposition,NIFTY,german,negEO,D0.bce.frz,-0.0450745400642526,-0.1197304501020266,0.0264483446712017,False,
selection-support decomposition,NIFTY,german,dAUC,D0.bce.S,0.0426273015873016,0.0100415873015873,0.0759714285714285,False,
