location,label,quantity,coordinate,baseline,value,n_cells,definition,source_file,changed_vs_frozen
"Sec. 4.2.1 body",,opposite_sign,dAUC,B_rep1,16,36,"sign(tau_pkg)*sign(tau_I) < 0; an estimate of exactly 0 counts as neither sign",results_v2/bundle/cell_results.csv,yes
"Sec. 4.2.1 body",,opposite_sign,negDP,B_rep1,18,36,"sign(tau_pkg)*sign(tau_I) < 0; an estimate of exactly 0 counts as neither sign",results_v2/bundle/cell_results.csv,no
"Sec. 4.2.1 body",,opposite_sign,negEO,B_rep1,15,36,"sign(tau_pkg)*sign(tau_I) < 0; an estimate of exactly 0 counts as neither sign",results_v2/bundle/cell_results.csv,no
"Table 1 row 'Opposite sign'",tab:exp1-summary,opposite_sign,dAUC,frozen,19,36,"sign(tau_pkg)*sign(tau_I) < 0",results/cell_results.csv,
"Table 1 row 'Opposite sign'",tab:exp1-summary,opposite_sign,negDP,frozen,18,36,"sign(tau_pkg)*sign(tau_I) < 0",results/cell_results.csv,
"Table 1 row 'Opposite sign'",tab:exp1-summary,opposite_sign,negEO,frozen,15,36,"sign(tau_pkg)*sign(tau_I) < 0",results/cell_results.csv,
"Table 1 row 'Opposite sign'",tab:exp1-summary,opposite_sign,dAUC,B_rep1,16,36,"sign(tau_pkg)*sign(tau_I) < 0",results_v2/bundle/cell_results.csv,yes
"Table 1 row 'Opposite sign'",tab:exp1-summary,opposite_sign,negDP,B_rep1,18,36,"sign(tau_pkg)*sign(tau_I) < 0",results_v2/bundle/cell_results.csv,no
"Table 1 row 'Opposite sign'",tab:exp1-summary,opposite_sign,negEO,B_rep1,15,36,"sign(tau_pkg)*sign(tau_I) < 0",results_v2/bundle/cell_results.csv,no
"C-2 sensitivity",,opposite_sign,dAUC,B_rep2,16,36,"sign(tau_pkg)*sign(tau_I) < 0",results_v2/bundle_B_rep2/cell_results.csv,
"C-2 sensitivity",,opposite_sign,negDP,B_rep2,18,36,"sign(tau_pkg)*sign(tau_I) < 0",results_v2/bundle_B_rep2/cell_results.csv,
"C-2 sensitivity",,opposite_sign,negEO,B_rep2,15,36,"sign(tau_pkg)*sign(tau_I) < 0",results_v2/bundle_B_rep2/cell_results.csv,
"C-2 sensitivity",,opposite_sign,dAUC,B_H1000,14,36,"sign(tau_pkg)*sign(tau_I) < 0",results_v2/bundle_B_H1000/cell_results.csv,
"C-2 sensitivity",,opposite_sign,negDP,B_H1000,10,36,"sign(tau_pkg)*sign(tau_I) < 0",results_v2/bundle_B_H1000/cell_results.csv,
"C-2 sensitivity",,opposite_sign,negEO,B_H1000,11,36,"sign(tau_pkg)*sign(tau_I) < 0",results_v2/bundle_B_H1000/cell_results.csv,
